text,severity,resolution,product
Clean up user selection SQL,normal,FIXED,Bugzilla
Typo in error message,trivial,FIXED,Bugzilla
If logged out $user->can_bless gives: Not an ARRAY reference at Bugzilla/User.pm line 643,normal,FIXED,Bugzilla
cookies are incorrectly detainted when logging out,trivial,FIXED,Bugzilla
DERIVE_GROUPS_TABLES_ALREADY_LOCKED is ignored on 2.20+ when creating a new user object,critical,FIXED,Bugzilla
Logging in with 'Remember my Login' deselected gives: Use of uninitialized value in string eq at Bugzilla/Auth/Login/WWW/CGI.pm line 83,normal,FIXED,Bugzilla
cannot export local attachments,normal,FIXED,Bugzilla
PostgreSQL seems to incorrectly detect control characters... or clean_text() incorrectly fixes them,normal,FIXED,Bugzilla
[PostgreSQL] sanitycheck.cgi?createmissinggroupcontrolmapentries=1 fails,normal,FIXED,Bugzilla
trivial UI changes for 2.20 (Selenium compat),trivial,FIXED,Bugzilla
"""Invalid Column Name"" when exportign bug list to CVS",normal,FIXED,Bugzilla
deleting a group incorrectly checks for user group membership (miss group inheritance),normal,FIXED,Bugzilla
deleting a group doesn't remove entries in group_group_map correctly,normal,FIXED,Bugzilla
admin/classifications/select.html.tmpl has a link pointing to itself,trivial,FIXED,Bugzilla
New charts feature crashes,major,FIXED,Bugzilla
"""Mail Transport Config"" is a confusing name for a params section",normal,FIXED,Bugzilla
Remove whitespaces from the 'Long Format' button,trivial,FIXED,Bugzilla
"When an event is scheduled at midnight of a given day of the month, one email is sent *each* hour of that day",normal,FIXED,Bugzilla
"In editparams.cgi, radio button and checkbox descriptions should be enclosed in <label></label> tags",trivial,FIXED,Bugzilla
[PostgreSQL] Changing the status of a bug from UNCO to ASSIGNED sets everconfirmed to 1 but leave the status as UNCONFIRMED,normal,FIXED,Bugzilla
"When 'shutdownhtml' is set, accessing foo.cgi?format=bar displays plain text instead of html",normal,FIXED,Bugzilla
"Wrong colspan for ""summarize time"" link below time tracking bar on show_bug.cgi",trivial,FIXED,Bugzilla
Release Notes for Bugzilla 2.22rc1,blocker,FIXED,Bugzilla
The login form on the Bugzilla home page may redirect your login and password to another site,major,FIXED,Bugzilla
"Remove duplicate ""the the"" from using.xml",normal,FIXED,Bugzilla
"Setting ""loginnetmask"" to 0 does not disable IP checking",normal,FIXED,Bugzilla
Missing space in attachment size error,normal,FIXED,Bugzilla
Email preferences are not set correctly when the user account is created by Env.pm,normal,FIXED,Bugzilla
Env.pm plugin doesn't create new user accounts correctly in Postgres,normal,FIXED,Bugzilla
Templates should not check for flag.setter; it is always known,trivial,FIXED,Bugzilla
Upgrading to 2.23 on PostgreSQL generates an error,normal,FIXED,Bugzilla
editusers.cgi does not work because it has a Byte Order Mark at the beginning,critical,FIXED,Bugzilla
Unable to login on a fresh Bugzilla install,blocker,FIXED,Bugzilla
Software error when editing the 'docs_urlbase' parameter,major,FIXED,Bugzilla
https://bugzilla.org/ results in the Syndicomm site,normal,FIXED,Bugzilla
Fix spelling: 'visitng' -> 'visiting',minor,FIXED,Bugzilla
"dependency tree images missing from #251656 """,minor,FIXED,Bugzilla
whining fails on mysql 4.0 due to date addition,normal,FIXED,Bugzilla
Cannot update a product if 'usetargetmilestone' is off (and the default milestone has been previously changed),normal,FIXED,Bugzilla
Classifications are currently undocumented,normal,FIXED,Bugzilla
Group.html should be groups.html in documentation links,normal,FIXED,Bugzilla
Additional Comments field columns are constant at 80 cols,trivial,FIXED,Bugzilla
No 'settings' template case in generic auth code,normal,FIXED,Bugzilla
Bugzilla fails when there are no keywords,critical,FIXED,Bugzilla
008filter fails if . is not in PATH,normal,FIXED,Bugzilla
sidebar.xul.tmpl has a bad header,normal,FIXED,Bugzilla
SQL crash in request.cgi when the status field is used,normal,FIXED,Bugzilla
"Boolean charts do not find ""bugs which are NOT in some given group"" correctly",normal,FIXED,Bugzilla
Some browsers might not pick up comment upon new attachment,normal,FIXED,Bugzilla
"When a group cannot be deleted because it is in used, ThrowUserError() should be called",minor,FIXED,Bugzilla
User::match_field() may redirect you outside your Bugzilla installation,normal,FIXED,Bugzilla
Crash when changing the status of a bug which has dependencies,blocker,FIXED,Bugzilla
Whine mails lack the trailing MIME boundary,normal,FIXED,Bugzilla
"""its"" is wrong in comment",normal,FIXED,Bugzilla
Remove unused IsInClassification() function from globals.pl,trivial,FIXED,Bugzilla
missing newline in Search.pm,trivial,FIXED,Bugzilla
alias_is_numeric uses 'another' which to me implies a real one was given/accepted,normal,FIXED,Bugzilla
component_not_valid could be improved,normal,FIXED,Bugzilla
"auth_failure uses ""put people in or out""",normal,FIXED,Bugzilla
"Fix sudo_in_progress to not say ""an sudo""",trivial,FIXED,Bugzilla
login_required_for_pronoun doesn't make sense,trivial,FIXED,Bugzilla
"Incorrect English in ""You can't make [% terms.abug %] blocked or dependent on itself.""",normal,FIXED,Bugzilla
Add 'extensions' to .cvsignore,trivial,FIXED,Bugzilla
Incorrect output when updating components,normal,FIXED,Bugzilla
"""Cancelled Because:"" needs a space after "":""",normal,FIXED,Bugzilla
Bad alignment of ) for Alias,trivial,FIXED,Bugzilla
twice SQLQuote in Bugzilla::flag::modify,normal,FIXED,Bugzilla
Missing SET in admin/table.html.tmpl,normal,FIXED,Bugzilla
Wrong parameters passed to sudo sessions when trying to bypass validation checks,normal,FIXED,Bugzilla
Style the group table as all other tables in Bugzilla,normal,FIXED,Bugzilla
Cannot post a bug with keywords in it,critical,FIXED,Bugzilla
Steps to Reproduce default content has an extra linebreak,trivial,FIXED,Bugzilla
Already marked as duplicate - This bug has already been marked as a duplicate of bug 328615.,normal,FIXED,Bugzilla
Uninitialized value when entering a new bug with no alias given,minor,FIXED,Bugzilla
contrariety example in search-help,trivial,FIXED,Bugzilla
Bugzilla::DB::Pg can't alter a column to be SERIAL,normal,FIXED,Bugzilla
extra </a> in sudo_password_required message,trivial,FIXED,Bugzilla
process_bug.cgi is broken when changing several bugs at once,blocker,FIXED,Bugzilla
012throwables.t broken on Windows,normal,FIXED,Bugzilla
importxml.pl crashes when importing bugs having attachments from versions 2.20 or older,major,FIXED,Bugzilla
"When calling importxml.pl with the -v option, information is displayed too many times",normal,FIXED,Bugzilla
Release Notes for 2.20.2,blocker,FIXED,Bugzilla
Release Notes for 2.22,blocker,FIXED,Bugzilla
"Status Update for Bugzilla 2.20.2, 2.22, and 2.23.1",blocker,FIXED,Bugzilla
