text,severity,resolution,product,text_hash,thesis_class
Clean up user selection SQL,normal,FIXED,Bugzilla,4b4076f72661f483841023a483794c211e4f8fa8ed8b2670d99714b0556b1e86,pausa
Typo in error message,trivial,FIXED,Bugzilla,21076986dc3140833830ad170333549a7f52a66e9ded08677ddcef35fa86f84b,play
If logged out $user->can_bless gives: Not an ARRAY reference at Bugzilla/User.pm line 643,normal,FIXED,Bugzilla,2b50d8bcec12cdd8b51e04248a64a8248bb54869cd5f28f7aadb70a13918a130,pausa
cookies are incorrectly detainted when logging out,trivial,FIXED,Bugzilla,42602373a91b9f8d464db250dd5611fef13509c7a71cfa9a4b1272b471ffc6aa,play
DERIVE_GROUPS_TABLES_ALREADY_LOCKED is ignored on 2.20+ when creating a new user object,critical,FIXED,Bugzilla,50bd4925f143e7228fd495a79b28ec6eca70ae9930d46c4c5dea93c844ef3105,stop
Logging in with 'Remember my Login' deselected gives: Use of uninitialized value in string eq at Bugzilla/Auth/Login/WWW/CGI.pm line 83,normal,FIXED,Bugzilla,196cd1f42196de08677b0049e01053ac5e6a0f480540eb176d97708c54cafa5c,pausa
cannot export local attachments,normal,FIXED,Bugzilla,e66f37f36a768bba1680083781f6cdbf2451932f48daf34d1da293d16553526b,pausa
PostgreSQL seems to incorrectly detect control characters... or clean_text() incorrectly fixes them,normal,FIXED,Bugzilla,7eb683af882f060ba00b646febb880cce65a16df394d7e853f83431442214ba8,pausa
[PostgreSQL] sanitycheck.cgi?createmissinggroupcontrolmapentries=1 fails,normal,FIXED,Bugzilla,88308af58baae9084ceeb7d1df96c35cf8eff6cc0b07f0f9a4ade2fef8256e91,pausa
trivial UI changes for 2.20 (Selenium compat),trivial,FIXED,Bugzilla,d173c83674419b487a170889dd501397c5cb1131b7d99390157639dc640954e0,play
"""Invalid Column Name"" when exportign bug list to CVS",normal,FIXED,Bugzilla,ea37a856c58c798fb80c05838f48904ff20396351229d42a20b0ea14bc05b12a,pausa
deleting a group incorrectly checks for user group membership (miss group inheritance),normal,FIXED,Bugzilla,864276de3993269840218e1f831cb77a40f2f575014d6504d5e85b359ee0d819,pausa
deleting a group doesn't remove entries in group_group_map correctly,normal,FIXED,Bugzilla,9e75cdffd0da57c2fa6e8bdf8b01641c06bdfcefeb18b404cd2b1343eaf23a2a,pausa
admin/classifications/select.html.tmpl has a link pointing to itself,trivial,FIXED,Bugzilla,f4927df572c7510be50c96f2f67630d47849f3c4204285431946602bb2d618fa,play
New charts feature crashes,major,FIXED,Bugzilla,89f79baccd18c5ae571cca6a84fabfe178cffddc6bda1615c5d8c0e259ccb4fb,pausa
"""Mail Transport Config"" is a confusing name for a params section",normal,FIXED,Bugzilla,4b1388a28033c77b4f678901718693d3f5a041367fad3de2a04485b641dcf652,pausa
Remove whitespaces from the 'Long Format' button,trivial,FIXED,Bugzilla,e36ef6bf5297809d9a2a9ed2a2bb5c0b28d37c1e301156cb1e6142f518af6bb3,play
"When an event is scheduled at midnight of a given day of the month, one email is sent *each* hour of that day",normal,FIXED,Bugzilla,3c156e849d81c363b5c2d8fc6e3ecba6f6a6e7195573ce12d585d251b04c3f4e,pausa
"In editparams.cgi, radio button and checkbox descriptions should be enclosed in <label></label> tags",trivial,FIXED,Bugzilla,5d67fb9e9e21751076594dc134ff202bc91ebbfce1f6d640986dc3925762d6b4,play
[PostgreSQL] Changing the status of a bug from UNCO to ASSIGNED sets everconfirmed to 1 but leave the status as UNCONFIRMED,normal,FIXED,Bugzilla,7b619b8a201ed295a9b331425eb914c2d9324da18acd634e29d5aa88a3840c4a,pausa
"When 'shutdownhtml' is set, accessing foo.cgi?format=bar displays plain text instead of html",normal,FIXED,Bugzilla,8d8f7b588edd90207d0241d1bb41440211b0b079213d9fd285b00eb496877014,pausa
"Wrong colspan for ""summarize time"" link below time tracking bar on show_bug.cgi",trivial,FIXED,Bugzilla,e9c17903a3d533160e7e51b18c8aba5d5d4241f3796aaf276ebde7619a60bc09,play
Release Notes for Bugzilla 2.22rc1,blocker,FIXED,Bugzilla,ec059e1f048541e9ae55f2dcc0e4aa4dda57f30fe498fcf82308921fa2151c6d,stop
The login form on the Bugzilla home page may redirect your login and password to another site,major,FIXED,Bugzilla,1f93cdd902f874e6dabc9c9b9e6d6042d9b2a8169d7c9f5e69a960ecc7b5d79f,pausa
"Remove duplicate ""the the"" from using.xml",normal,FIXED,Bugzilla,3f3cc594ed9725490e6a743638e6ff42148a995acf9af4aa413819eb2df34466,pausa
"Setting ""loginnetmask"" to 0 does not disable IP checking",normal,FIXED,Bugzilla,0e4517d093d34c6e0231226ef0a6d72817ab89f677826b1111bdfa81eff08499,pausa
Missing space in attachment size error,normal,FIXED,Bugzilla,7150ac4a24e979cc531915c5e7561e4b7b13b6381c47baecd998eceb5a3fede4,pausa
Email preferences are not set correctly when the user account is created by Env.pm,normal,FIXED,Bugzilla,ae47b77350b665fc368b44070bd631198a6f16d6f52132eff383947fd4f14533,pausa
Env.pm plugin doesn't create new user accounts correctly in Postgres,normal,FIXED,Bugzilla,ba7a9fb5c11b5f6445c7be32526f829cb3a90a02833c3b154c79528cd8aa37d7,pausa
Templates should not check for flag.setter; it is always known,trivial,FIXED,Bugzilla,0d9dccced95bb92808ea7abb8b605bd3ca46e2239ee2251478e1458f6030a73a,play
Upgrading to 2.23 on PostgreSQL generates an error,normal,FIXED,Bugzilla,41902d94c2f68c905206e4b559dd8e12b55a5799db72a8bb4a433832efc7e3bc,pausa
editusers.cgi does not work because it has a Byte Order Mark at the beginning,critical,FIXED,Bugzilla,8a2f85bc54003aad4dfcb64c3dff174f43425ad76d84416f0a4e00a068bbe369,stop
Unable to login on a fresh Bugzilla install,blocker,FIXED,Bugzilla,86b641b2d5563b2706a0726468a2efa1dcb9c7618f76bfd35dff1144a9242300,stop
Software error when editing the 'docs_urlbase' parameter,major,FIXED,Bugzilla,1e39fdc8ea7dec14501294783c1b21c4e42e3c8f4fdc2fb42b258d558477eecb,pausa
https://bugzilla.org/ results in the Syndicomm site,normal,FIXED,Bugzilla,2dcc749465542c1f02055f353fbcbf29a04564e9ad17829c93a196e356ac9ec7,pausa
Fix spelling: 'visitng' -> 'visiting',minor,FIXED,Bugzilla,1c05e6eb584e02ddbb0fa88af96903ce0028346c685b6db61ad02165e66fe9bd,play
"dependency tree images missing from #251656 """,minor,FIXED,Bugzilla,09ee63f52d45be862b0993166b64bb10dbecb3fbdf51c25aaf249c05e5737ca3,play
whining fails on mysql 4.0 due to date addition,normal,FIXED,Bugzilla,9be965506bf0f9ae05ed2d21a315f1cd52ca69c77a325507ca1d1c5158f09508,pausa
Cannot update a product if 'usetargetmilestone' is off (and the default milestone has been previously changed),normal,FIXED,Bugzilla,70e1f80d3304c5f0b70600e74822fdf122601384780453f7182d913626809288,pausa
Classifications are currently undocumented,normal,FIXED,Bugzilla,27b272e3b5a25b41dfe85deaaf04379702fdfd074f4aa1e7e20cc4cf45642688,pausa
Group.html should be groups.html in documentation links,normal,FIXED,Bugzilla,e6140c2d49f589ff0d1f25955380a26422b62a2b2e8c07392dedcee8b5c18608,pausa
Additional Comments field columns are constant at 80 cols,trivial,FIXED,Bugzilla,c28537adfaadd56ddb3de35e8ee9de62839e098e6319e42cc7b7fa2cea3b78b2,play
No 'settings' template case in generic auth code,normal,FIXED,Bugzilla,775b4fc409b0e55fd2c98034689ed4ff0e701c7c704c13f5a350cf9debbc2200,pausa
Bugzilla fails when there are no keywords,critical,FIXED,Bugzilla,4d6d218ace2b49eeac96cec3e12d6d4fef32d9dfed05c96e72a0cd4e6149d600,stop
008filter fails if . is not in PATH,normal,FIXED,Bugzilla,714baf96a2ca914d4e5ad915381264192b9d9fda5627f0a79c5466c144661bd0,pausa
sidebar.xul.tmpl has a bad header,normal,FIXED,Bugzilla,479b1db36904839d8aace598dc8cc3f6f38083eb85c757bebdfdba63db91991a,pausa
SQL crash in request.cgi when the status field is used,normal,FIXED,Bugzilla,8f2abc9db6e737b3c2281d4f62a63be69f589ef7f88967d1006e7d1fd85e0615,pausa
"Boolean charts do not find ""bugs which are NOT in some given group"" correctly",normal,FIXED,Bugzilla,281966acb7225af9047f70be1ebd40b14f1ea5912f19a2cde73eaacfcb8d565c,pausa
Some browsers might not pick up comment upon new attachment,normal,FIXED,Bugzilla,1cf17957d4cfaf1325b6ca45ec25d7c09f5514f30bf66d9650ab46670291acfc,pausa
"When a group cannot be deleted because it is in used, ThrowUserError() should be called",minor,FIXED,Bugzilla,6948dd3be477ab01ca487d920cf0fab59ed23f9df84a8ca6164060cd3d1d5363,play
User::match_field() may redirect you outside your Bugzilla installation,normal,FIXED,Bugzilla,0aa9f3d8d037542906068cd86a4bb9a367835d746b407c14eeef154fb8165379,pausa
Crash when changing the status of a bug which has dependencies,blocker,FIXED,Bugzilla,4bc460e71b637935d5b2de1f2688cd5cdbb5bb88726ba6e0d5ca96bdb2a6076e,stop
Whine mails lack the trailing MIME boundary,normal,FIXED,Bugzilla,5bc59e1ffa754096e18b0679c43becc9cf014b3138146dbcc267a5028c3be61e,pausa
"""its"" is wrong in comment",normal,FIXED,Bugzilla,e518dd252bdd91ee1200e0e05543861e4cb4e5219708d3b209a209807cfa4855,pausa
Remove unused IsInClassification() function from globals.pl,trivial,FIXED,Bugzilla,4fdf29c5ac0592dd27a3501796367d97c6c54b435b7b3bfb3e27696e698b8ea4,play
missing newline in Search.pm,trivial,FIXED,Bugzilla,50e86dcd8714629e4fb876cf5fddd3226ce44961f4a134278c7f054ccc6c1a36,play
alias_is_numeric uses 'another' which to me implies a real one was given/accepted,normal,FIXED,Bugzilla,2aa9fe72543c1f59e4fda092e9345e6f06b3a00b652838e924af6e6f9797df0d,pausa
component_not_valid could be improved,normal,FIXED,Bugzilla,972e09c37fe76f4a48ebe93ff27960910d8546d7d39ba16a305af54b62dd82d1,pausa
"auth_failure uses ""put people in or out""",normal,FIXED,Bugzilla,0daca1f65050328184a5543c33862ca4a0b7409cc4d1f04c2c4fd608ae2c823b,pausa
