query_idx,query_hash,true_label,neighbor_entropy,neighbor_mean_distance,neighbor_mean_similarity,neighbor_n_play,neighbor_n_pausa,neighbor_n_stop,neighbor_majority_label,retrieval_backend
0,478d2a73e17118f494cfae75a606c3f9ce15476888faffcd8454cfb63c8dd49d,pausa,1.5219280948873621,0.17223948889020546,0.8277605111097944,2,1,2,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
1,aeb86fa31ccaedfbc25152cf6213795ca8ca04f5eced9cc382a7604a6aa46cb3,pausa,0.7219280948873623,0.0,1.0,1,4,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
2,607fd62f6c0d64e7f32b5395a78cd019937527ba1dfd21429c3078166cbde8f8,pausa,1.5219280948873621,0.1306352295863497,0.8693647704136502,2,1,2,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
3,881a7c9131943ddf21948ee1fb82a690649553ea1d357c119c99bd0e238e95c7,pausa,1.3709505944546687,0.2422088725816276,0.7577911274183724,3,1,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
4,fff9440a43b6206fd15f63dcb88c2d745a567a1431953592355bae4ffcd005ef,pausa,1.3709505944546687,0.13755706854920294,0.8624429314507969,1,3,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
5,5ab7a93ef41a0885cc1f9db0bfa0bbfd2ed2cd2af755be0dd113ed9929efd60c,pausa,0.9709505944546686,0.0618580258194519,0.9381419741805482,2,3,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
6,fd1c677944f8ca72edd4816125e8b3f42a12a6a5e49923f3e40e3e13a73803bb,pausa,0.7219280948873623,0.11426405563759508,0.8857359443624049,1,4,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
7,b390dac64689b86287ca627efa07e6a3368c0dd9d6f4d653e1786d353455e693,pausa,1.3709505944546687,0.17133344843542497,0.8286665515645751,1,3,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
8,e384ddf22c5d721b122840a3fa47ed3273224311d0ac50049764191ee521ddce,pausa,0.7219280948873623,0.0,1.0,0,4,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
9,5ab950c28271405134884512dcb4c94c2953dc2ed29fee2b1bdec641108bdc11,pausa,0.9709505944546686,0.09354497488665481,0.9064550251133452,2,3,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
10,22faac5ccc71e10c3cb70f96971537659fa82ba23b7c4238d0033aae3f75bc31,play,1.3709505944546687,0.14744733276962463,0.8525526672303754,3,1,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
11,891204e5d79a672b85bf91ddd9e44998aee086e03b249c861d577cac64257e43,pausa,-0.0,0.0787921207013876,0.9212078792986123,0,0,5,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
12,b338ffcee9fc1b5900f6ceb469f1ae79c3bd706624c0fd475135ae3e8505de61,pausa,1.5219280948873621,1.0,0.0,2,2,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
13,b6f500f006ded41d74c32e874f55c87ea27a83cae1066ba78051ecad7845b3b5,pausa,0.9709505944546686,0.14104128202129224,0.8589587179787077,2,3,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
14,d1b96f0d8ecd18d908936f641166c3e5b797763ca4a64ca856f130be54938059,pausa,-0.0,0.13044235743490018,0.8695576425650998,0,5,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
15,a8f390c58560a8790d29008b21c3d1efd960c61c3185a95cd91f831f1803eb54,pausa,-0.0,0.0983902865359507,0.9016097134640493,0,5,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
16,273d28147f5877244923e2b1e468eb4f672d700397b704b76c9b90f0879c040c,pausa,0.7219280948873623,0.07531894040987812,0.924681059590122,4,1,0,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
17,6f8204499e80d326addffd697cd2de00a211b74b4f603f999d5d79ae419a0cc5,stop,-0.0,-2.220446049250313e-16,1.0000000000000002,0,0,5,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
18,5d6d127b60e15cf454b53ab11f82a87670b61e0214fcbe5c4c4b039d607d9af8,pausa,0.7219280948873623,0.0307619490688833,0.9692380509311167,4,1,0,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
19,7464ceba6c66c69efc4e2a582a313e6949930137b2554321dcb0d95ca8467c10,stop,1.5219280948873621,1.0,0.0,2,2,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
20,7d68bec9a29b5d4c54101ba60f25e99d000774882359641a0e8eca4626578fd9,pausa,1.3709505944546687,0.12784779546561076,0.8721522045343892,1,3,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
21,b9515602146a02e939bd94533e45ec82e9143cd378185e739a9318698b40026a,play,1.5219280948873621,0.04168402821265467,0.9583159717873453,2,2,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
22,82c75117b7db95e720b017ba43a48d6f4a1a908b99ab25ad7c0f7291a53d78fc,stop,-0.0,1.1102230246251565e-16,0.9999999999999998,0,0,5,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
23,4c631e2116428ab0797ec862b72535cd7c9a5aa8701d9eef13a6bae08d523eac,pausa,1.5219280948873621,0.1425995659477844,0.8574004340522157,2,2,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
24,0faabe2e1677cd1aaf654cd550fd1890fd43680d999b512a37b0a2b04c19f348,play,0.9709505944546686,0.21604811002894003,0.7839518899710601,3,2,0,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
25,c2fe79b141e00c30134ef23b651121f0f9077334ebbcb7a7f8809c28bbec3e5a,stop,1.5219280948873621,0.1545938520352481,0.8454061479647519,2,2,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
26,bf094bca985be3654a4b16cecaa14b594881d4ef78a494bde0d5fdafd657ae9c,pausa,0.9709505944546686,0.19355605562961484,0.806443944370385,0,3,2,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
27,e1867e00445421cccafe1a0e9c216044867a918307433adb63b52afa5b2722d9,pausa,0.9709505944546686,0.19038198052176108,0.8096180194782387,0,3,2,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
28,127caefca4ae5bb454be4cb4419b5f6e75abb9e1a362f8e597a378082731cb71,pausa,1.5219280948873621,-2.220446049250313e-16,1.0000000000000002,2,1,2,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
29,35c9d67b7076417a4166ebed22fbea7c8d7ea9ed0fbbabb1168cb91af3712cf2,pausa,0.9709505944546686,0.2621899456251882,0.7378100543748116,0,3,2,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
30,3131e7dfb745ac264427889cfee10c62b97bd0101d587c949ce982125f751658,stop,1.3709505944546687,0.2116748182413053,0.7883251817586947,1,1,3,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
31,a565487dabf5a9ba6e613a95d40d37c685f9ac8fdcc8a7139889c48b60de140d,pausa,0.9709505944546686,0.17224980774938542,0.8277501922506145,2,3,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
32,c15913ce8a802b3406d4eb4763b133d9684ef0d19a4d56e5b3b27dc0faf444c7,pausa,0.9709505944546686,0.24542518008984815,0.7545748199101519,2,3,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
33,e7a4f2c15811f16915c53d482f1d1e6902fd92ee8ef1c774372e50befc1878d6,pausa,1.5219280948873621,1.0,0.0,2,2,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
34,6c2023480837ffd793e7b841b4451b6b38fbbd3a9873f8b62f999d79d2362a41,pausa,0.7219280948873623,0.22075797149543258,0.7792420285045675,1,4,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
35,7de056f55aa90f96d9a51ee0b3c39db2f90c8cfb99bf04524747d4c94b05ff39,pausa,0.9709505944546686,0.2114531697531358,0.7885468302468641,0,3,2,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
36,32e6fa454a1be9970f3a7f2df6bba2477f2495d4451b9444602c512dce1bc9f6,pausa,0.7219280948873623,0.10160783904488946,0.8983921609551105,4,0,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
37,e45fc8cccc7b95c6c876df197bfd5440432a074f5691bda96363b1ec60cc8a25,pausa,0.9709505944546686,0.07502885187529022,0.9249711481247097,0,3,2,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
38,a6680ed767e8fd7ada2b32e0c4361670db8cba8ec310d5b83894b3ddab31b9cb,pausa,1.5219280948873621,0.0717118485110407,0.9282881514889592,2,2,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
39,3286477e8f580de80a75b932e23b9931e59241383e86089aece419084bf14b24,pausa,1.5219280948873621,0.07556773333406767,0.9244322666659321,2,1,2,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
40,6479fb18f4ecf55b868e67f0752364638e47b61554098974226069553d44fc81,stop,1.3709505944546687,-2.220446049250313e-16,1.0000000000000002,1,3,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
41,322fbff8724456303e801f832161b4793dcf291e011ec446a4de11a7c9e4c779,pausa,0.9709505944546686,0.08435533088443858,0.9156446691155613,3,2,0,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
42,a22790f4efac31e79a68854bff313f399bca47785d7a7e24f5138d4d620e359f,pausa,0.7219280948873623,0.17572466293782457,0.8242753370621756,1,4,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
43,844e1acb997f78be2d5cc3d7ce068cf3e86d72f0eca84a3539aa7801ede6fe9d,pausa,-0.0,0.25798288282330734,0.7420171171766926,0,0,5,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
44,b1219e55f926e20969cf1e8ecddd80dbfe9328f5c51fa2b45b78446e787c139f,pausa,1.5219280948873621,0.06436196007745251,0.9356380399225476,2,2,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
45,a7d6a8ae8dd32e8e376f453daef9820ee61a607327ed71a9c7e03077a87f6b5a,stop,-0.0,0.003140567581912279,0.9968594324180877,0,0,5,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
46,e840fb9305c81b50a3860d58d32c8da9c9beae5a0301f850e715a757a2156e6d,pausa,-0.0,0.06412024598147462,0.9358797540185254,0,5,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
47,616a1b3b78474819bc0d9513585731aa895242356ed4686e0c668df757219439,pausa,1.3709505944546687,0.12058490926467454,0.8794150907353254,3,1,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
