query_idx,query_hash,sklearn_top5,hybrid_top5,overlap_at_5,jaccard_at_5
0,478d2a73e17118f494cfae75a606c3f9ce15476888faffcd8454cfb63c8dd49d,17b23416804cde74cca1495a3aa2bb093dea8331d980df8f8f58536335d05951|63e6fb497b688e3197322558de4a274dfee805df63726e651c5ef727ab862116|98a2c3f571230b36eaa04da6fb383ffe3adef088e697ecab3725cfb7abfa1e5e|9d03826d62b98cf1821d23107d83d57ee0143e6e3fe74456520eb352a811410d|9ed033ce5c771a417e47b1f2a9890405b45bfa232290727d259efc0295b8cb4a,17b23416804cde74cca1495a3aa2bb093dea8331d980df8f8f58536335d05951|1cf224df57d9c9075385daa3a1e14f924775c77112df22e4c702593b0e53de41|98a2c3f571230b36eaa04da6fb383ffe3adef088e697ecab3725cfb7abfa1e5e|9d03826d62b98cf1821d23107d83d57ee0143e6e3fe74456520eb352a811410d|9ed033ce5c771a417e47b1f2a9890405b45bfa232290727d259efc0295b8cb4a,4,0.6666666666666666
1,aeb86fa31ccaedfbc25152cf6213795ca8ca04f5eced9cc382a7604a6aa46cb3,6fedbfb266385b75d358b7499e676a8da3dc84c533e0ead5b450e2d0cb03da9e|7676fec93b184c7fe958dd704d4e97a00e4a17d665f34e306ada29efad7c6da8|90c743a4d003a4ff80820dc0f123af9d22442b4b55354c4c569fe0d734d06f58|c216a9b77e8c322f1794254a47cb75898bd70fd6bcdbefec98b1770eaa3f810a|d62b637bebbe1aa05716c02bdf839a6d24c6d9794b8031e100aeb2a3c46b5121,6fedbfb266385b75d358b7499e676a8da3dc84c533e0ead5b450e2d0cb03da9e|7676fec93b184c7fe958dd704d4e97a00e4a17d665f34e306ada29efad7c6da8|90c743a4d003a4ff80820dc0f123af9d22442b4b55354c4c569fe0d734d06f58|d9bb7d677bfa94ecacb6e20096ba33a5bbf52bd563c538de8a0b3edc0ca1edcc|dd888a0cf1f3698bbc8d2b6b38b1b539263f467442e7e2d0f8ee8c99c7771373,3,0.42857142857142855
2,607fd62f6c0d64e7f32b5395a78cd019937527ba1dfd21429c3078166cbde8f8,315c2a9927bdd85493bcdc922f5416948e0aa09c838037dc12cb098eb2a6d1ec|6595016c10374cb7abada6792d55ef32f7a7b9618571704f28f6e7797bbe144d|6e6c6eecc6338d996a9c801e6fc04aad64340b2c4ac158eacf356e1554094e6b|79c4e2c8606f2930b1508fc0c80e53c6fb08da88edf0e6a3465cb0da52dc5410|b25b9f830d93f78324e4795de5d68050f8cabb1bfb0090254aabd046728ddc92,315c2a9927bdd85493bcdc922f5416948e0aa09c838037dc12cb098eb2a6d1ec|6595016c10374cb7abada6792d55ef32f7a7b9618571704f28f6e7797bbe144d|6e6c6eecc6338d996a9c801e6fc04aad64340b2c4ac158eacf356e1554094e6b|79c4e2c8606f2930b1508fc0c80e53c6fb08da88edf0e6a3465cb0da52dc5410|b25b9f830d93f78324e4795de5d68050f8cabb1bfb0090254aabd046728ddc92,5,1.0
3,881a7c9131943ddf21948ee1fb82a690649553ea1d357c119c99bd0e238e95c7,15637992305cc3ec01d2f54aa288dc39a719f59697a3c54c6cb63038e290683f|5995801ad6151231c4370a0df3e02b058ca0d3e7f6f764d9dc29eaf621922e27|a7505037f3b9d3a7cb1f9fcc268286d128d20c32021ec5a335cc44d2bcf8d59b|f402875be4d28b6083b36b8b29e6acb0bef77e240a453db21a54ed963454caaa|f5b685d1396f217efbab044fe86d223e587856ef8e5a808facd5e4eb775260b5,15637992305cc3ec01d2f54aa288dc39a719f59697a3c54c6cb63038e290683f|32c969572241d34f4b913632e8dedae0076c0b17ef2c119e03dc4162d21874c3|5995801ad6151231c4370a0df3e02b058ca0d3e7f6f764d9dc29eaf621922e27|5dd09ce9581feed6addf8346fc61fa7d76fe13d9a45e67c326642a2164bae660|a7505037f3b9d3a7cb1f9fcc268286d128d20c32021ec5a335cc44d2bcf8d59b,3,0.42857142857142855
4,fff9440a43b6206fd15f63dcb88c2d745a567a1431953592355bae4ffcd005ef,372685ff0ebb2573ec69523d6e317801670b0cabc6474701fa8f595174392324|cd17b43786e66282d87f7317659ee46bb9df245b7cdf4e7f0a8edbfe3227633b|d17e156f7a1de55115eb24928fb33141ec736c94eee04484f760f036257644f0|d78a5eea657be560786e1ad50fa6202e515d3771437125c962d12378ba039488|f52d7af9ec843c7a29ec9dea8bfb268c16feb692fb749bd0fc32d3df0935a26f,372685ff0ebb2573ec69523d6e317801670b0cabc6474701fa8f595174392324|cd17b43786e66282d87f7317659ee46bb9df245b7cdf4e7f0a8edbfe3227633b|d17e156f7a1de55115eb24928fb33141ec736c94eee04484f760f036257644f0|d78a5eea657be560786e1ad50fa6202e515d3771437125c962d12378ba039488|f52d7af9ec843c7a29ec9dea8bfb268c16feb692fb749bd0fc32d3df0935a26f,5,1.0
5,5ab7a93ef41a0885cc1f9db0bfa0bbfd2ed2cd2af755be0dd113ed9929efd60c,2437248c3f7ce0789ac7efec716579548d07cb47564882192f5fe98fd8f93b8c|71e83494c2214be3f280bfb41945a46d770b3ff8e4d1ddb7e9ec217deb6dc45b|aa35bb8889bb8325d853ffa9cffa950afe1ae1519365d2366ea532eaf150adcf|cc9b09ea0ae31fa797cb75a8d9f38d710bf2cf1ca847ece17c319fd276817c27|d7a449d555eebbe0988f706bf2c20ce3a3a806d081cf9071096b5e3a291440ac,10ab4615cc00f11ed257f55b6870eb0874ce8f2055b6a2722bdd40c734c13886|2437248c3f7ce0789ac7efec716579548d07cb47564882192f5fe98fd8f93b8c|71e83494c2214be3f280bfb41945a46d770b3ff8e4d1ddb7e9ec217deb6dc45b|aa35bb8889bb8325d853ffa9cffa950afe1ae1519365d2366ea532eaf150adcf|d7a449d555eebbe0988f706bf2c20ce3a3a806d081cf9071096b5e3a291440ac,4,0.6666666666666666
6,fd1c677944f8ca72edd4816125e8b3f42a12a6a5e49923f3e40e3e13a73803bb,351b0783a75557446a64f20d0e19bad8a93b09f2fe5602b138d00f0cdcba65c5|45aa56c6e9cdca2c426a61febc7ac9c3784cadb206ffa5948e69340875b14022|57dc8a67841e90b0b5607dc843bb0f074ae07658cfefbf312efaca5c8835d99f|9f351728589e61b671acce85128c73625f555501ffc0ae90c8dd79a64e1bc2c7|beb7ad5efcf2599e9fd5d161a146540979fde981a3e3929c501567cfb5d2cc32,351b0783a75557446a64f20d0e19bad8a93b09f2fe5602b138d00f0cdcba65c5|45aa56c6e9cdca2c426a61febc7ac9c3784cadb206ffa5948e69340875b14022|57dc8a67841e90b0b5607dc843bb0f074ae07658cfefbf312efaca5c8835d99f|9f351728589e61b671acce85128c73625f555501ffc0ae90c8dd79a64e1bc2c7|beb7ad5efcf2599e9fd5d161a146540979fde981a3e3929c501567cfb5d2cc32,5,1.0
7,b390dac64689b86287ca627efa07e6a3368c0dd9d6f4d653e1786d353455e693,2ac647f374a687301bd591642b7ea15256f39dacf787b773cbb1954cc166ae22|6714da4a45d7402edd94abd671c5451d9e99b0062716f057f259781718ecab41|6a28304938086b5e1d72254c6a872a502a71ca142412213c99566da29f074bd1|b49fa1d8a3010b2a5c91d7095dbae05998d4f15404a0c769f058c2559496de49|c756228084de6c552e3638dce9a6ce2af26940f03b6e954327666623a2ef8101,2ac647f374a687301bd591642b7ea15256f39dacf787b773cbb1954cc166ae22|30cc68a9e92b0abb3bac3e3255b47e75d94910977e6fb4a7feab6e2dba578d14|6a28304938086b5e1d72254c6a872a502a71ca142412213c99566da29f074bd1|6feef2e576e22294c2695a13af00493d612798924ead4811993aac3967f95495|b49fa1d8a3010b2a5c91d7095dbae05998d4f15404a0c769f058c2559496de49,3,0.42857142857142855
8,e384ddf22c5d721b122840a3fa47ed3273224311d0ac50049764191ee521ddce,004219f19332dd5ca632f47fc0ac2391281026c06432734787b8b6369b050a19|1b624cb9dd561aaaf7ace7304424f977c8dea17266c5936ab01ee64c834accfe|8bdd32908959a6da7d1808a8ecda742b56d159e70921b53b695a5ce7a020780f|8cd1e484293d6ee7fa0394ae74226c0ebf5c43c7ce6c0fd813f427160efa77a6|e590a3a2e834e792fba7f22cc030f4c2d235aac2a7b9d190303788d3a758b9be,004219f19332dd5ca632f47fc0ac2391281026c06432734787b8b6369b050a19|1b624cb9dd561aaaf7ace7304424f977c8dea17266c5936ab01ee64c834accfe|1bdbccbde9930a338945743e82a2057359baf78a9cff06a925e4e5ba5f2f9ea9|8bdd32908959a6da7d1808a8ecda742b56d159e70921b53b695a5ce7a020780f|b039f0314412bbcfc2086d775dbcd469a8c990e2a45be224c0aa01281b5492b3,3,0.42857142857142855
9,5ab950c28271405134884512dcb4c94c2953dc2ed29fee2b1bdec641108bdc11,15637992305cc3ec01d2f54aa288dc39a719f59697a3c54c6cb63038e290683f|5995801ad6151231c4370a0df3e02b058ca0d3e7f6f764d9dc29eaf621922e27|6c76cfdc86a914e347c80b5d0f3e5fb6197a3c0a97faf90cd191c27c724f8fde|7974aff7e8edc3a8da2313aa3dbe7ae5ee37cbde5ee416f49dd44a07c86cf14f|79ab82aec891c802abeabe986018985a9ea91874e1396e32bf8508c3245349ba,2a3b174288b26ae775ea61808b58ab1eaf936da357f930b3184b7120791d3183|6c76cfdc86a914e347c80b5d0f3e5fb6197a3c0a97faf90cd191c27c724f8fde|7974aff7e8edc3a8da2313aa3dbe7ae5ee37cbde5ee416f49dd44a07c86cf14f|79ab82aec891c802abeabe986018985a9ea91874e1396e32bf8508c3245349ba|e529a1a9f6f9e2abf2c76a70ac5b4df5d5de624f21dcf7c519846e847f02dcf6,3,0.42857142857142855
