query_idx,text_hash,true_label,risk_4d,lexical_stop,I_db,I_mem,I_sec,I_dat,neighbor_entropy,mean_distance,class_consensus,conformal_set_size,rag_uncertainty,agent_label_sim,agent_confidence_sim,token_cost_proxy,loop_retry_proxy,plan_entropy,agent_disagreement
0,478d2a73e17118f494cfae75a606c3f9ce15476888faffcd8454cfb63c8dd49d,pausa,0.0,False,0.0,0.0,0.0,0.0,0.96023,0.172239,0.4,2,0.651787,stop,0.7000000000000001,1200.0,0,0.96023,0.0
1,aeb86fa31ccaedfbc25152cf6213795ca8ca04f5eced9cc382a7604a6aa46cb3,pausa,0.0,False,0.0,0.0,0.0,0.0,0.455486,0.0,0.8,1,0.267743,pausa,0.7000000000000001,1200.0,0,0.455486,0.0
2,607fd62f6c0d64e7f32b5395a78cd019937527ba1dfd21429c3078166cbde8f8,pausa,0.0,False,0.0,0.0,0.0,0.0,0.96023,0.130635,0.4,2,0.639305,play,0.7000000000000001,1200.0,0,0.96023,0.0
3,881a7c9131943ddf21948ee1fb82a690649553ea1d357c119c99bd0e238e95c7,pausa,0.0,False,0.0,0.0,0.0,0.0,0.864974,0.242209,0.6,1,0.585149,play,0.7000000000000001,1200.0,0,0.864974,0.0
4,fff9440a43b6206fd15f63dcb88c2d745a567a1431953592355bae4ffcd005ef,pausa,0.0,False,0.0,0.0,0.0,0.0,0.864974,0.137557,0.6,1,0.553754,pausa,0.7000000000000001,1200.0,0,0.864974,0.0
5,5ab7a93ef41a0885cc1f9db0bfa0bbfd2ed2cd2af755be0dd113ed9929efd60c,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.061858,0.6,2,0.404858,pausa,0.7000000000000001,1200.0,0,0.612602,0.0
6,fd1c677944f8ca72edd4816125e8b3f42a12a6a5e49923f3e40e3e13a73803bb,pausa,0.0,True,0.0,0.0,0.0,0.0,0.455486,0.114264,0.8,1,0.302022,pausa,0.7000000000000001,1200.0,0,0.455486,0.0
7,b390dac64689b86287ca627efa07e6a3368c0dd9d6f4d653e1786d353455e693,pausa,0.0,False,0.0,0.0,0.0,0.0,0.864974,0.171333,0.6,1,0.563887,pausa,0.7000000000000001,1200.0,0,0.864974,0.0
8,e384ddf22c5d721b122840a3fa47ed3273224311d0ac50049764191ee521ddce,pausa,0.0,False,0.0,0.0,0.0,0.0,0.455486,0.0,0.8,1,0.267743,pausa,0.7000000000000001,1200.0,0,0.455486,0.0
9,5ab950c28271405134884512dcb4c94c2953dc2ed29fee2b1bdec641108bdc11,pausa,0.0,False,0.0,0.0,0.0,0.0,0.612602,0.093545,0.6,2,0.414364,pausa,0.7000000000000001,1200.0,0,0.612602,0.0
10,22faac5ccc71e10c3cb70f96971537659fa82ba23b7c4238d0033aae3f75bc31,play,0.0,False,0.0,0.0,0.0,0.0,0.864974,0.147447,0.6,1,0.556721,play,0.7000000000000001,1200.0,0,0.864974,0.0
