query_idx,text_hash,true_label,gate,decision,score,trace,risk_4d,uncertainty,p_stop
0,478d2a73e17118f494cfae75a606c3f9ce15476888faffcd8454cfb63c8dd49d,pausa,A,stop,0.578687,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.611605,0.68
1,aeb86fa31ccaedfbc25152cf6213795ca8ca04f5eced9cc382a7604a6aa46cb3,pausa,A,pausa,0.20584,PAUSA: score combinado supera umbral pausa,0.0,0.296969,0.07
2,607fd62f6c0d64e7f32b5395a78cd019937527ba1dfd21429c3078166cbde8f8,pausa,A,play,0.148005,PLAY: score bajo umbrales,0.0,0.607861,0.19
3,881a7c9131943ddf21948ee1fb82a690649553ea1d357c119c99bd0e238e95c7,pausa,A,play,0.126796,PLAY: score bajo umbrales,0.0,0.539037,0.13
4,fff9440a43b6206fd15f63dcb88c2d745a567a1431953592355bae4ffcd005ef,pausa,A,pausa,0.263418,PAUSA: score combinado supera umbral pausa,0.0,0.529618,0.13
5,5ab7a93ef41a0885cc1f9db0bfa0bbfd2ed2cd2af755be0dd113ed9929efd60c,pausa,A,pausa,0.225052,PAUSA: score combinado supera umbral pausa,0.0,0.409238,0.07
6,fd1c677944f8ca72edd4816125e8b3f42a12a6a5e49923f3e40e3e13a73803bb,pausa,A,pausa,0.213297,PAUSA: score combinado supera umbral pausa,0.0,0.307252,0.07
7,b390dac64689b86287ca627efa07e6a3368c0dd9d6f4d653e1786d353455e693,pausa,A,pausa,0.265622,PAUSA: score combinado supera umbral pausa,0.0,0.532658,0.13
8,e384ddf22c5d721b122840a3fa47ed3273224311d0ac50049764191ee521ddce,pausa,A,pausa,0.223113,PAUSA: score combinado supera umbral pausa,0.0,0.296969,0.13
9,5ab950c28271405134884512dcb4c94c2953dc2ed29fee2b1bdec641108bdc11,pausa,A,pausa,0.22712,PAUSA: score combinado supera umbral pausa,0.0,0.41209,0.07
10,22faac5ccc71e10c3cb70f96971537659fa82ba23b7c4238d0033aae3f75bc31,play,A,play,0.120612,PLAY: score bajo umbrales,0.0,0.530508,0.13
11,891204e5d79a672b85bf91ddd9e44998aee086e03b249c861d577cac64257e43,pausa,A,stop,0.547592,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.063091,0.86
12,b338ffcee9fc1b5900f6ceb469f1ae79c3bd706624c0fd475135ae3e8505de61,pausa,A,play,0.187467,PLAY: score bajo umbrales,0.0,0.686103,0.13
13,b6f500f006ded41d74c32e874f55c87ea27a83cae1066ba78051ecad7845b3b5,pausa,A,pausa,0.23022,PAUSA: score combinado supera umbral pausa,0.0,0.416364,0.07
14,d1b96f0d8ecd18d908936f641166c3e5b797763ca4a64ca856f130be54938059,pausa,A,play,0.180081,PLAY: score bajo umbrales,0.0,0.06774,0.07
15,a8f390c58560a8790d29008b21c3d1efd960c61c3185a95cd91f831f1803eb54,pausa,A,play,0.177989,PLAY: score bajo umbrales,0.0,0.064855,0.07
16,273d28147f5877244923e2b1e468eb4f672d700397b704b76c9b90f0879c040c,pausa,A,play,0.067304,PLAY: score bajo umbrales,0.0,0.303747,0.07
17,6f8204499e80d326addffd697cd2de00a211b74b4f603f999d5d79ae419a0cc5,stop,A,stop,0.54245,STOP: costo esperado FN-stop supera umbral HITL,0.0,0.056,0.86
18,5d6d127b60e15cf454b53ab11f82a87670b61e0214fcbe5c4c4b039d607d9af8,pausa,A,play,0.098975,PLAY: score bajo umbrales,0.15,0.299737,0.07
19,7464ceba6c66c69efc4e2a582a313e6949930137b2554321dcb0d95ca8467c10,stop,A,play,0.187467,PLAY: score bajo umbrales,0.0,0.686103,0.13
20,7d68bec9a29b5d4c54101ba60f25e99d000774882359641a0e8eca4626578fd9,pausa,A,pausa,0.262784,PAUSA: score combinado supera umbral pausa,0.0,0.528744,0.13
21,b9515602146a02e939bd94533e45ec82e9143cd378185e739a9318698b40026a,play,A,play,0.124927,PLAY: score bajo umbrales,0.0,0.599855,0.13
22,82c75117b7db95e720b017ba43a48d6f4a1a908b99ab25ad7c0f7291a53d78fc,stop,A,stop,0.61983,STOP: costo esperado FN-stop supera umbral HITL,0.335667,0.056,0.86
23,4c631e2116428ab0797ec862b72535cd7c9a5aa8701d9eef13a6bae08d523eac,pausa,A,play,0.131512,PLAY: score bajo umbrales,0.0,0.608937,0.13
