variante,alcance_n,F1-macro (Macro-averaged F1),F1-play,F1-pausa,F1-stop (F1-critical),ECE (Expected Calibration Error),EC (Expected Cost / ex-CEPA),FNR-stop (False Negative Rate stop),MCC-macro (Matthews Correlation),Balanced accuracy,tokens_total,latencia_media_ms,latencia_p95_ms,end_indice_auxiliar,confusion_matrix_json,Precision-play,Recall-play,Precision-pausa,Recall-pausa,F1-stop,Precision-stop,Recall-stop,hitl_intervenciones_pausa,hitl_intervenciones_stop,hitl_overrides_extra,hitl_tiempo_total_min,hitl_costo_programador_usd,cm_play_to_play,cm_play_to_pausa,cm_play_to_stop,cm_pausa_to_play,cm_pausa_to_pausa,cm_pausa_to_stop,cm_stop_to_play,cm_stop_to_pausa,cm_stop_to_stop,fold,F1-macro (Macro-averaged F1)_std,F1-stop (F1-critical)_std,ECE (Expected Calibration Error)_std,EC (Expected Cost / ex-CEPA)_std,FNR-stop (False Negative Rate stop)_std
Baseline,80.0,0.28512,0.083333,0.618182,0.153846,0.4925,0.135,0.666667,-0.006931,0.356349,0.0,0.0,0.0,0.251207,"{""play_to_play"": 1, ""play_to_pausa"": 2, ""play_to_stop"": 1, ""pausa_to_play"": 19, ""pausa_to_pausa"": 34, ""pausa_to_stop"": 17, ""stop_to_play"": 0, ""stop_to_pausa"": 4, ""stop_to_stop"": 2}",0.05,0.25,0.85,0.485714,0.153846,0.1,0.333333,40.0,20.0,0.0,600.0,450.0,1.0,2.0,1.0,19.0,34.0,17.0,0.0,4.0,2.0,1,,,,,
Baseline,80.0,0.436115,0.206897,0.666667,0.434783,0.42625,0.08975,0.166667,0.257579,0.651691,0.0,0.0,0.0,0.400198,"{""play_to_play"": 3, ""play_to_pausa"": 2, ""play_to_stop"": 0, ""pausa_to_play"": 21, ""pausa_to_pausa"": 36, ""pausa_to_stop"": 12, ""stop_to_play"": 0, ""stop_to_pausa"": 1, ""stop_to_stop"": 5}",0.125,0.6,0.923077,0.521739,0.434783,0.294118,0.833333,39.0,17.0,0.0,535.0,401.25,3.0,2.0,0.0,21.0,36.0,12.0,0.0,1.0,5.0,2,,,,,
Baseline,80.0,0.385273,0.222222,0.672727,0.26087,0.405,0.11675,0.5,0.168989,0.545411,0.0,0.0,0.0,0.344995,"{""play_to_play"": 3, ""play_to_pausa"": 2, ""play_to_stop"": 0, ""pausa_to_play"": 18, ""pausa_to_pausa"": 37, ""pausa_to_stop"": 14, ""stop_to_play"": 1, ""stop_to_pausa"": 2, ""stop_to_stop"": 3}",0.136364,0.6,0.902439,0.536232,0.26087,0.176471,0.5,41.0,17.0,0.0,545.0,408.75,3.0,2.0,0.0,18.0,37.0,14.0,1.0,2.0,3.0,3,,,,,
Baseline,80.0,0.329509,0.16,0.520833,0.307692,0.509375,0.10125,0.0,0.186907,0.58744,0.0,0.0,0.0,0.299213,"{""play_to_play"": 2, ""play_to_pausa"": 2, ""play_to_stop"": 1, ""pausa_to_play"": 18, ""pausa_to_pausa"": 25, ""pausa_to_stop"": 26, ""stop_to_play"": 0, ""stop_to_pausa"": 0, ""stop_to_stop"": 6}",0.1,0.4,0.925926,0.362319,0.307692,0.181818,1.0,27.0,33.0,0.0,795.0,596.25,2.0,2.0,1.0,18.0,25.0,26.0,0.0,0.0,6.0,4,,,,,
Baseline,80.0,0.3585,0.0,0.711864,0.363636,0.410625,0.11,0.333333,0.062871,0.425121,0.0,0.0,0.0,0.322973,"{""play_to_play"": 0, ""play_to_pausa"": 5, ""play_to_stop"": 0, ""pausa_to_play"": 15, ""pausa_to_pausa"": 42, ""pausa_to_stop"": 12, ""stop_to_play"": 0, ""stop_to_pausa"": 2, ""stop_to_stop"": 4}",0.0,0.0,0.857143,0.608696,0.363636,0.25,0.666667,49.0,16.0,0.0,565.0,423.75,0.0,5.0,0.0,15.0,42.0,12.0,0.0,2.0,4.0,5,,,,,
Baseline,,0.358903,,,0.304165,0.44875,0.11055,0.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,0.056932,0.106161,0.04864,0.016998,0.263523
Var1,80.0,0.358478,0.181818,0.893617,0.0,0.46,0.1505,1.0,0.063667,0.383333,0.0,0.0,0.0,0.311585,"{""play_to_play"": 1, ""play_to_pausa"": 3, ""play_to_stop"": 0, ""pausa_to_play"": 5, ""pausa_to_pausa"": 63, ""pausa_to_stop"": 2, ""stop_to_play"": 1, ""stop_to_pausa"": 5, ""stop_to_stop"": 0}",0.142857,0.25,0.887324,0.9,0.0,0.0,0.0,71.0,2.0,0.0,395.0,296.25,1.0,3.0,0.0,5.0,63.0,2.0,1.0,5.0,0.0,1,,,,,
Var1,80.0,0.295775,0.0,0.887324,0.0,0.4425,0.148,1.0,-0.037569,0.304348,0.0,0.0,0.0,0.257643,"{""play_to_play"": 0, ""play_to_pausa"": 5, ""play_to_stop"": 0, ""pausa_to_play"": 6, ""pausa_to_pausa"": 63, ""pausa_to_stop"": 0, ""stop_to_play"": 1, ""stop_to_pausa"": 5, ""stop_to_stop"": 0}",0.0,0.0,0.863014,0.913043,0.0,0.0,0.0,73.0,0.0,0.0,365.0,273.75,0.0,5.0,0.0,6.0,63.0,0.0,1.0,5.0,0.0,2,,,,,
Var1,80.0,0.391013,0.0,0.887324,0.285714,0.43,0.13775,0.833333,0.108805,0.359903,0.0,0.0,0.0,0.343672,"{""play_to_play"": 0, ""play_to_pausa"": 5, ""play_to_stop"": 0, ""pausa_to_play"": 6, ""pausa_to_pausa"": 63, ""pausa_to_stop"": 0, ""stop_to_play"": 0, ""stop_to_pausa"": 5, ""stop_to_stop"": 1}",0.0,0.0,0.863014,0.913043,0.285714,1.0,0.166667,73.0,1.0,0.0,385.0,288.75,0.0,5.0,0.0,6.0,63.0,0.0,0.0,5.0,1.0,3,,,,,
Var1,80.0,0.329469,0.133333,0.855072,0.0,0.44,0.14625,1.0,-0.009167,0.351691,0.0,0.0,0.0,0.287432,"{""play_to_play"": 1, ""play_to_pausa"": 4, ""play_to_stop"": 0, ""pausa_to_play"": 9, ""pausa_to_pausa"": 59, ""pausa_to_stop"": 1, ""stop_to_play"": 0, ""stop_to_pausa"": 6, ""stop_to_stop"": 0}",0.1,0.2,0.855072,0.855072,0.0,0.0,0.0,69.0,1.0,0.0,365.0,273.75,1.0,4.0,0.0,9.0,59.0,1.0,0.0,6.0,0.0,4,,,,,
