rank,trial,objective_cv,test_f1_macro,test_f1_stop,test_accuracy,test_policy_cost,params_json
1,44,0.7759873245274486,0.7634,0.8148,0.775,0.133,"{""mode"": ""stop_heavy"", ""p_stop_floor"": 0.6, ""pause_uncertainty"": 0.38, ""risk_stop_floor"": 0.44000000000000006, ""stop_cost_threshold"": 0.48, ""threshold_pausa"": 0.2, ""threshold_stop"": 0.7, ""weights"": {""base"": 0.3876813800812387, ""fuzzy_stop"": 0.1201854704216174, ""p_stop"": 0.09870050876833605, ""rag_gap"": 0.0903671690669085, ""risk"": 0.17272306080332134, ""uncertainty"": 0.1303424108585781}}"
2,61,0.7759873245274486,0.7634,0.8148,0.775,0.133,"{""mode"": ""stop_heavy"", ""p_stop_floor"": 0.56, ""pause_uncertainty"": 0.39999999999999997, ""risk_stop_floor"": 0.44000000000000006, ""stop_cost_threshold"": 0.48, ""threshold_pausa"": 0.2, ""threshold_stop"": 0.6799999999999999, ""weights"": {""base"": 0.40253001886227924, ""fuzzy_stop"": 0.19684063768821988, ""p_stop"": 0.0976415030222422, ""rag_gap"": 0.026417201308641666, ""risk"": 0.20503884912658582, ""uncertainty"": 0.07153178999203114}}"
3,72,0.7759873245274486,0.7634,0.8148,0.775,0.133,"{""mode"": ""stop_heavy"", ""p_stop_floor"": 0.56, ""pause_uncertainty"": 0.39999999999999997, ""risk_stop_floor"": 0.44000000000000006, ""stop_cost_threshold"": 0.48, ""threshold_pausa"": 0.2, ""threshold_stop"": 0.6799999999999999, ""weights"": {""base"": 0.39116365455007535, ""fuzzy_stop"": 0.17882747735592172, ""p_stop"": 0.10170521281308233, ""rag_gap"": 0.03206431781498052, ""risk"": 0.20262578171012513, ""uncertainty"": 0.0936135557558149}}"
4,73,0.7759873245274486,0.7634,0.8148,0.775,0.133,"{""mode"": ""stop_heavy"", ""p_stop_floor"": 0.56, ""pause_uncertainty"": 0.42, ""risk_stop_floor"": 0.44000000000000006, ""stop_cost_threshold"": 0.48, ""threshold_pausa"": 0.2, ""threshold_stop"": 0.6799999999999999, ""weights"": {""base"": 0.43186019831296407, ""fuzzy_stop"": 0.19238321071927406, ""p_stop"": 0.12915220944003197, ""rag_gap"": 0.04888284611995634, ""risk"": 0.14438406973326817, ""uncertainty"": 0.05333746567450542}}"
5,75,0.7754730997796203,0.7634,0.8148,0.775,0.133,"{""mode"": ""stop_heavy"", ""p_stop_floor"": 0.56, ""pause_uncertainty"": 0.42, ""risk_stop_floor"": 0.44000000000000006, ""stop_cost_threshold"": 0.48, ""threshold_pausa"": 0.22, ""threshold_stop"": 0.6799999999999999, ""weights"": {""base"": 0.4161412174778896, ""fuzzy_stop"": 0.1862580723092025, ""p_stop"": 0.12322704182544861, ""rag_gap"": 0.04867363530428392, ""risk"": 0.1585660506681218, ""uncertainty"": 0.06713398241505353}}"
6,31,0.7750640058740736,0.733,0.8148,0.75,0.131,"{""mode"": ""stop_heavy"", ""p_stop_floor"": 0.56, ""pause_uncertainty"": 0.36, ""risk_stop_floor"": 0.44000000000000006, ""stop_cost_threshold"": 0.48, ""threshold_pausa"": 0.22, ""threshold_stop"": 0.64, ""weights"": {""base"": 0.34996254857868725, ""fuzzy_stop"": 0.16837570016443745, ""p_stop"": 0.1139169828916258, ""rag_gap"": 0.09396190898641991, ""risk"": 0.13571587391660173, ""uncertainty"": 0.13806698546222795}}"
7,51,0.7750640058740736,0.7012,0.8148,0.725,0.129,"{""mode"": ""stop_heavy"", ""p_stop_floor"": 0.56, ""pause_uncertainty"": 0.39999999999999997, ""risk_stop_floor"": 0.44000000000000006, ""stop_cost_threshold"": 0.48, ""threshold_pausa"": 0.2, ""threshold_stop"": 0.6799999999999999, ""weights"": {""base"": 0.33103416577022843, ""fuzzy_stop"": 0.20947439398126835, ""p_stop"": 0.0989188670673765, ""rag_gap"": 0.01998668352988298, ""risk"": 0.1973483261389276, ""uncertainty"": 0.14323756351231604}}"
8,36,0.7750632009055639,0.7634,0.8148,0.775,0.133,"{""mode"": ""stop_heavy"", ""p_stop_floor"": 0.6, ""pause_uncertainty"": 0.39999999999999997, ""risk_stop_floor"": 0.48, ""stop_cost_threshold"": 0.48, ""threshold_pausa"": 0.22, ""threshold_stop"": 0.6799999999999999, ""weights"": {""base"": 0.3874149989942189, ""fuzzy_stop"": 0.12434575968545124, ""p_stop"": 0.14896753461877507, ""rag_gap"": 0.06844033266373988, ""risk"": 0.14858223711961932, ""uncertainty"": 0.1222491369181956}}"
9,55,0.7750632009055639,0.7634,0.8148,0.775,0.133,"{""mode"": ""stop_heavy"", ""p_stop_floor"": 0.56, ""pause_uncertainty"": 0.36, ""risk_stop_floor"": 0.48, ""stop_cost_threshold"": 0.48, ""threshold_pausa"": 0.2, ""threshold_stop"": 0.6799999999999999, ""weights"": {""base"": 0.35354678210862184, ""fuzzy_stop"": 0.2059521478071454, ""p_stop"": 0.08349280878212917, ""rag_gap"": 0.042616804798738, ""risk"": 0.16903094089539883, ""uncertainty"": 0.14536051560796673}}"
10,43,0.7739338268635729,0.7634,0.8148,0.775,0.133,"{""mode"": ""stop_heavy"", ""p_stop_floor"": 0.6, ""pause_uncertainty"": 0.39999999999999997, ""risk_stop_floor"": 0.44000000000000006, ""stop_cost_threshold"": 0.48, ""threshold_pausa"": 0.2, ""threshold_stop"": 0.7, ""weights"": {""base"": 0.3652254159824106, ""fuzzy_stop"": 0.1856637262107123, ""p_stop"": 0.082689743755277, ""rag_gap"": 0.08558134508562261, ""risk"": 0.1607009530320955, ""uncertainty"": 0.1201388159338819}}"
