rank,trial,objective_cv,test_f1_macro,test_f1_stop,test_accuracy,test_policy_cost,params_json
1,2,0.7565090701335502,0.7012,0.8148,0.725,0.129,"{""mode"": ""stop_heavy"", ""p_stop_floor"": 0.48, ""pause_uncertainty"": 0.45999999999999996, ""risk_stop_floor"": 0.4, ""stop_cost_threshold"": 0.32, ""threshold_pausa"": 0.22, ""threshold_stop"": 0.5599999999999999, ""weights"": {""base"": 0.29504631165634565, ""fuzzy_stop"": 0.16813502270298267, ""p_stop"": 0.08259214484159806, ""rag_gap"": 0.12065626217425819, ""risk"": 0.14592881088452597, ""uncertainty"": 0.1876414477402894}}"
2,22,0.7465740178983028,0.5908,0.8148,0.65,0.121,"{""mode"": ""stop_heavy"", ""p_stop_floor"": 0.44, ""pause_uncertainty"": 0.52, ""risk_stop_floor"": 0.2, ""stop_cost_threshold"": 0.44, ""threshold_pausa"": 0.26, ""threshold_stop"": 0.6, ""weights"": {""base"": 0.2782181640134422, ""fuzzy_stop"": 0.16924305085592342, ""p_stop"": 0.08402123166210156, ""rag_gap"": 0.11883409532241071, ""risk"": 0.1386675402361241, ""uncertainty"": 0.21101591790999802}}"
3,65,0.7235191581495813,0.5585,0.8148,0.65,0.115,"{""mode"": ""stop_heavy"", ""p_stop_floor"": 0.48, ""pause_uncertainty"": 0.54, ""risk_stop_floor"": 0.44000000000000006, ""stop_cost_threshold"": 0.52, ""threshold_pausa"": 0.24000000000000002, ""threshold_stop"": 0.7, ""weights"": {""base"": 0.294451693215041, ""fuzzy_stop"": 0.18488324902159722, ""p_stop"": 0.1662483813102892, ""rag_gap"": 0.04831431948042246, ""risk"": 0.19771316419843823, ""uncertainty"": 0.10838919277421184}}"
4,37,0.708412361423152,0.5049,0.8148,0.625,0.113,"{""mode"": ""stop_heavy"", ""p_stop_floor"": 0.6, ""pause_uncertainty"": 0.58, ""risk_stop_floor"": 0.16, ""stop_cost_threshold"": 0.5, ""threshold_pausa"": 0.30000000000000004, ""threshold_stop"": 0.6, ""weights"": {""base"": 0.2584552026727151, ""fuzzy_stop"": 0.10629169308505666, ""p_stop"": 0.21573382312459355, ""rag_gap"": 0.09495987225292156, ""risk"": 0.17246526290557743, ""uncertainty"": 0.15209414595913565}}"
5,5,0.7070322581497419,0.5049,0.8148,0.625,0.113,"{""mode"": ""stop_heavy"", ""p_stop_floor"": 0.52, ""pause_uncertainty"": 0.36, ""risk_stop_floor"": 0.44000000000000006, ""stop_cost_threshold"": 0.38, ""threshold_pausa"": 0.24000000000000002, ""threshold_stop"": 0.58, ""weights"": {""base"": 0.14261768596768387, ""fuzzy_stop"": 0.06756495323119244, ""p_stop"": 0.2081774172731692, ""rag_gap"": 0.10584415747339793, ""risk"": 0.31223111321885205, ""uncertainty"": 0.16356467283570444}}"
6,47,0.7011246266186171,0.5049,0.8148,0.625,0.113,"{""mode"": ""stop_heavy"", ""p_stop_floor"": 0.44, ""pause_uncertainty"": 0.56, ""risk_stop_floor"": 0.2, ""stop_cost_threshold"": 0.33999999999999997, ""threshold_pausa"": 0.24000000000000002, ""threshold_stop"": 0.54, ""weights"": {""base"": 0.24660055451638938, ""fuzzy_stop"": 0.08109386240540788, ""p_stop"": 0.19314377349273598, ""rag_gap"": 0.030930947218942312, ""risk"": 0.36149972954794046, ""uncertainty"": 0.08673113281858405}}"
7,69,0.7010260349515021,0.5617,0.8148,0.65,0.117,"{""mode"": ""stop_heavy"", ""p_stop_floor"": 0.36, ""pause_uncertainty"": 0.5, ""risk_stop_floor"": 0.36, ""stop_cost_threshold"": 0.42, ""threshold_pausa"": 0.26, ""threshold_stop"": 0.48, ""weights"": {""base"": 0.26929661777115455, ""fuzzy_stop"": 0.07945399217162426, ""p_stop"": 0.17907089324812336, ""rag_gap"": 0.09083304724306056, ""risk"": 0.2051981336292564, ""uncertainty"": 0.17614731593678076}}"
8,54,0.6988500434125006,0.5049,0.8148,0.625,0.113,"{""mode"": ""stop_heavy"", ""p_stop_floor"": 0.64, ""pause_uncertainty"": 0.54, ""risk_stop_floor"": 0.4, ""stop_cost_threshold"": 0.38, ""threshold_pausa"": 0.34, ""threshold_stop"": 0.48, ""weights"": {""base"": 0.3527708111840136, ""fuzzy_stop"": 0.15103281122307347, ""p_stop"": 0.09307976678623357, ""rag_gap"": 0.04202758588457125, ""risk"": 0.2742032372523291, ""uncertainty"": 0.08688578766977902}}"
9,27,0.6980976776919366,0.5444,0.8,0.625,0.133,"{""mode"": ""stop_heavy"", ""p_stop_floor"": 0.6, ""pause_uncertainty"": 0.44, ""risk_stop_floor"": 0.4, ""stop_cost_threshold"": 0.54, ""threshold_pausa"": 0.26, ""threshold_stop"": 0.5599999999999999, ""weights"": {""base"": 0.1560594839983427, ""fuzzy_stop"": 0.15867450895933463, ""p_stop"": 0.17317526821021717, ""rag_gap"": 0.0910596756786111, ""risk"": 0.2534252518216549, ""uncertainty"": 0.16760581133183944}}"
10,30,0.6928500920686023,0.5049,0.8148,0.625,0.113,"{""mode"": ""stop_heavy"", ""p_stop_floor"": 0.6, ""pause_uncertainty"": 0.38, ""risk_stop_floor"": 0.2, ""stop_cost_threshold"": 0.45999999999999996, ""threshold_pausa"": 0.24000000000000002, ""threshold_stop"": 0.58, ""weights"": {""base"": 0.1895176641680499, ""fuzzy_stop"": 0.21587936571700853, ""p_stop"": 0.09778368544214443, ""rag_gap"": 0.07798573529345257, ""risk"": 0.26558408078010903, ""uncertainty"": 0.15324946859923547}}"
