method,trial,state,objective_cv,duration_s,pruned,param_mode,param_w_base,param_w_risk,param_w_p_stop,param_w_uncertainty,param_w_rag_gap,param_w_fuzzy_stop,param_threshold_stop,param_threshold_pausa,param_risk_stop_floor,param_p_stop_floor,param_stop_cost_threshold,param_pause_uncertainty
bayes,0,TrialState.COMPLETE,0.54377728513606,0.040168,False,balanced,0.3695981825434216,0.2756512058912295,0.1112037280884873,0.07651906845715445,0.026970033460183937,0.19858818332398964,0.6599999999999999,0.46,0.16,0.64,0.5,0.39999999999999997
bayes,1,TrialState.COMPLETE,0.5530384770168031,0.040671,False,balanced,0.2412726728878613,0.2564366722243818,0.16638900372842316,0.09950895383366712,0.09342234736668555,0.08231901770432669,0.5599999999999999,0.32,0.32,0.6,0.33999999999999997,0.48
bayes,2,TrialState.COMPLETE,0.7565090701335502,0.039862,False,stop_heavy,0.3322634555704315,0.16433627215869578,0.09301031859705591,0.21131054133306665,0.13587584396894714,0.18934357569863378,0.5599999999999999,0.22,0.4,0.48,0.32,0.45999999999999996
bayes,3,TrialState.COMPLETE,0.5156615888346459,0.040814,False,balanced,0.2276339944800051,0.2922557939320353,0.1423422152178822,0.13841156360022783,0.08560523352119356,0.08957671288408432,0.76,0.48000000000000004,0.48,0.64,0.44,0.58
bayes,4,TrialState.COMPLETE,0.5446299863990859,0.043083,False,balanced,0.16356818667316142,0.20458588599844874,0.1577354579378964,0.0961293354015623,0.11944850109823153,0.11708053227097429,0.5599999999999999,0.38,0.2,0.6,0.3,0.58
bayes,5,TrialState.COMPLETE,0.7070322581497419,0.039215,False,stop_heavy,0.15165663513708072,0.3320199713982569,0.2213714687695234,0.17393121856696783,0.1125524416023135,0.07184714427745445,0.58,0.24000000000000002,0.44000000000000006,0.52,0.38,0.36
bayes,6,TrialState.COMPLETE,0.5543362070728681,0.050032,False,balanced,0.3688818535014192,0.2857649425523554,0.2574425485152653,0.13027653727753136,0.034351309512596205,0.1741191659556792,0.7,0.4,0.4,0.48,0.42,0.45999999999999996
bayes,7,TrialState.COMPLETE,0.5044528235558322,0.039736,False,balanced,0.15942875570602028,0.2854667069285829,0.14287119621526534,0.13645701749799946,0.12890797687113117,0.09988675666381999,0.6,0.48000000000000004,0.24,0.36,0.36,0.38
bayes,8,TrialState.COMPLETE,0.6013254318178298,0.041007,False,stop_heavy,0.34002112695312703,0.34657975344880665,0.24073441537982293,0.08171691001062609,0.12710707981879735,0.1462947587065041,0.72,0.54,0.24,0.36,0.33999999999999997,0.45999999999999996
bayes,9,TrialState.COMPLETE,0.5545640072218806,0.049923,False,balanced,0.15208563915935722,0.2527942986701671,0.16348220062975583,0.08775832778002414,0.03438384408004194,0.11401842742458047,0.76,0.32,0.32,0.56,0.38,0.58
bayes,10,TrialState.COMPLETE,0.7375680600348342,0.058174,False,stop_heavy,0.4150619773884144,0.12196230302223618,0.08359237512296394,0.21603694873681872,0.061264105293561785,0.21356331935126718,0.48,0.2,0.36,0.44,0.54,0.52
bayes,11,TrialState.COMPLETE,0.7427344692645178,0.058428,False,stop_heavy,0.44501314758673116,0.12279764917916312,0.08140976250402505,0.2198204059594345,0.06008900754748521,0.21512757744909833,0.5,0.2,0.36,0.44,0.54,0.52
bayes,12,TrialState.COMPLETE,0.7396959162851827,0.058216,False,stop_heavy,0.4488049595242307,0.13104987231758405,0.08038552574282289,0.2198916145690637,0.058915739156570585,0.1818566981536125,0.48,0.2,0.4,0.44,0.48,0.52
bayes,13,TrialState.COMPLETE,0.7266093466160056,0.055137,False,stop_heavy,0.3036091433029727,0.17360831066956744,0.11131033378215432,0.189522024616699,0.07933337436633979,0.21762685523423397,0.52,0.26,0.32,0.44,0.54,0.52
bayes,14,TrialState.COMPLETE,0.7131001582734744,0.054801,False,stop_heavy,0.2853947071537378,0.17643019010615288,0.10876001773701592,0.18594690072655443,0.10079261489175924,0.1606925865647705,0.62,0.28,0.48,0.48,0.3,0.42
bayes,15,TrialState.COMPLETE,0.7526094503983793,0.054925,False,stop_heavy,0.40938401570667105,0.15681853706562254,0.10447132581230972,0.20091030469002444,0.1399033925506698,0.1929270712681991,0.52,0.22,0.4,0.39999999999999997,0.44,0.48
bayes,16,TrialState.COMPLETE,0.7044432914533578,0.055975,False,stop_heavy,0.3947189511928629,0.2066553931218404,0.1999072570230705,0.1637210217676576,0.13563664645329496,0.14049175553093057,0.54,0.30000000000000004,0.4,0.39999999999999997,0.42,0.44
bayes,17,TrialState.COMPLETE,0.7601194733858506,0.055769,False,stop_heavy,0.3214437290994649,0.1707490376032111,0.12480077125147032,0.19947143212901453,0.13800305034687244,0.18761205574338027,0.64,0.24000000000000002,0.44000000000000006,0.52,0.48,0.48
bayes,18,TrialState.PRUNED,0.7894955888442333,0.039303,True,stop_heavy,0.31548397152762575,0.2133538139236232,0.1287466785983511,0.1619942616483011,0.1106155768003178,0.16898572118103725,0.64,0.34,0.44000000000000006,0.52,0.48,0.48
bayes,19,TrialState.COMPLETE,0.724799165336442,0.055405,False,stop_heavy,0.25008893085243394,0.1530005027695463,0.19412671284734073,0.19960445990285702,0.12132988803776372,0.15188508746469126,0.6599999999999999,0.26,0.44000000000000006,0.52,0.5,0.42
bayes,20,TrialState.PRUNED,0.7792537366404519,0.040422,True,stop_heavy,0.27367582860386763,0.2202165052220853,0.12867387843603165,0.05751499191370528,0.1399394149161644,0.1935747658099603,0.7,0.24000000000000002,0.48,0.56,0.4,0.54
bayes,21,TrialState.COMPLETE,0.7497871927741269,0.056405,False,stop_heavy,0.34666547277809506,0.1646461476185336,0.10082412838050263,0.19737862195761524,0.13810709880967628,0.18956879015472602,0.52,0.24000000000000002,0.36,0.39999999999999997,0.45999999999999996,0.48
bayes,22,TrialState.COMPLETE,0.7709373910171542,0.05469,False,stop_heavy,0.40832345157154665,0.1494420864049066,0.12938947976434023,0.20375287459409816,0.12885737704247158,0.19963050162219073,0.6,0.22,0.4,0.48,0.44,0.45999999999999996
bayes,23,TrialState.COMPLETE,0.7208541538171708,0.05367,False,stop_heavy,0.32337287575981327,0.18736629400580523,0.12127525576475393,0.20667028191860054,0.1043884404385029,0.20704078704767467,0.6,0.28,0.44000000000000006,0.48,0.5,0.44
bayes,24,TrialState.COMPLETE,0.7640792708453484,0.053961,False,stop_heavy,0.36542574078816115,0.14694599812939638,0.1447295326986202,0.17822141957452675,0.12567619035599406,0.17884342842168754,0.62,0.22,0.36,0.48,0.32,0.5
bayes,25,TrialState.PRUNED,0.6013986147186148,0.030709,True,stop_heavy,0.36546950795259375,0.13877449561184962,0.17644902354034842,0.17716813423267497,0.11863602821716734,0.17389846971608067,0.64,0.36,0.36,0.56,0.45999999999999996,0.5
bayes,26,TrialState.COMPLETE,0.724886879587473,0.064991,False,stop_heavy,0.3956069501101959,0.18938012936138315,0.1449213733191296,0.15309206597829325,0.12654624998962707,0.13343923139391373,0.62,0.28,0.32,0.52,0.52,0.54
bayes,27,TrialState.COMPLETE,0.7600856255192818,0.055092,False,stop_heavy,0.42154220908727374,0.14532549654177074,0.1872283112172471,0.1850497887674144,0.1110719910220069,0.1602169960073644,0.6799999999999999,0.24000000000000002,0.28,0.48,0.4,0.5
bayes,28,TrialState.PRUNED,0.7949985575251682,0.040147,True,stop_heavy,0.38546472885451305,0.23328649531274623,0.15023250564108248,0.170288731095884,0.12652100126166452,0.20381481311264282,0.6,0.30000000000000004,0.28,0.52,0.44,0.44
bayes,29,TrialState.COMPLETE,0.7721210121505933,0.056435,False,stop_heavy,0.3549718576546642,0.19341526875431295,0.12731774820012492,0.1482163922728392,0.10079743846603474,0.1825012770132398,0.6599999999999999,0.2,0.44000000000000006,0.56,0.48,0.39999999999999997
bayes,30,TrialState.COMPLETE,0.7586566238306011,0.059184,False,stop_heavy,0.35513533856148655,0.18983900581994673,0.13680649960414812,0.11399970430190726,0.07643390321416363,0.20101268530765223,0.6599999999999999,0.2,0.36,0.6,0.52,0.39999999999999997
bayes,31,TrialState.COMPLETE,0.7750640058740736,0.057298,False,stop_heavy,0.3784921836082014,0.1467796987923702,0.12320371931173948,0.14932247757377012,0.10162186854765351,0.18210201828916167,0.64,0.22,0.44000000000000006,0.56,0.48,0.36
