method,trial,state,objective_cv,duration_s,pruned,param_mode,param_w_base,param_w_risk,param_w_p_stop,param_w_uncertainty,param_w_rag_gap,param_w_fuzzy_stop,param_threshold_stop,param_threshold_pausa,param_risk_stop_floor,param_p_stop_floor,param_stop_cost_threshold,param_pause_uncertainty
random,0,TrialState.COMPLETE,0.54377728513606,0.041644,False,balanced,0.3695981825434216,0.2756512058912295,0.1112037280884873,0.07651906845715445,0.026970033460183937,0.19858818332398964,0.6599999999999999,0.46,0.16,0.64,0.5,0.39999999999999997
random,1,TrialState.COMPLETE,0.5530384770168031,0.04621,False,balanced,0.2412726728878613,0.2564366722243818,0.16638900372842316,0.09950895383366712,0.09342234736668555,0.08231901770432669,0.5599999999999999,0.32,0.32,0.6,0.33999999999999997,0.48
random,2,TrialState.COMPLETE,0.7565090701335502,0.045339,False,stop_heavy,0.3322634555704315,0.16433627215869578,0.09301031859705591,0.21131054133306665,0.13587584396894714,0.18934357569863378,0.5599999999999999,0.22,0.4,0.48,0.32,0.45999999999999996
random,3,TrialState.COMPLETE,0.5156615888346459,0.055778,False,balanced,0.2276339944800051,0.2922557939320353,0.1423422152178822,0.13841156360022783,0.08560523352119356,0.08957671288408432,0.76,0.48000000000000004,0.48,0.64,0.44,0.58
random,4,TrialState.COMPLETE,0.5446299863990859,0.054683,False,balanced,0.16356818667316142,0.20458588599844874,0.1577354579378964,0.0961293354015623,0.11944850109823153,0.11708053227097429,0.5599999999999999,0.38,0.2,0.6,0.3,0.58
random,5,TrialState.COMPLETE,0.7070322581497419,0.069505,False,stop_heavy,0.15165663513708072,0.3320199713982569,0.2213714687695234,0.17393121856696783,0.1125524416023135,0.07184714427745445,0.58,0.24000000000000002,0.44000000000000006,0.52,0.38,0.36
random,6,TrialState.COMPLETE,0.5543362070728681,0.054652,False,balanced,0.3688818535014192,0.2857649425523554,0.2574425485152653,0.13027653727753136,0.034351309512596205,0.1741191659556792,0.7,0.4,0.4,0.48,0.42,0.45999999999999996
random,7,TrialState.COMPLETE,0.5044528235558322,0.049405,False,balanced,0.15942875570602028,0.2854667069285829,0.14287119621526534,0.13645701749799946,0.12890797687113117,0.09988675666381999,0.6,0.48000000000000004,0.24,0.36,0.36,0.38
random,8,TrialState.COMPLETE,0.6013254318178298,0.044551,False,stop_heavy,0.34002112695312703,0.34657975344880665,0.24073441537982293,0.08171691001062609,0.12710707981879735,0.1462947587065041,0.72,0.54,0.24,0.36,0.33999999999999997,0.45999999999999996
random,9,TrialState.COMPLETE,0.5545640072218806,0.046133,False,balanced,0.15208563915935722,0.2527942986701671,0.16348220062975583,0.08775832778002414,0.03438384408004194,0.11401842742458047,0.76,0.32,0.32,0.56,0.38,0.58
random,10,TrialState.COMPLETE,0.6298346231619165,0.054926,False,stop_heavy,0.2991745517677157,0.1982283605523601,0.13696809887549352,0.05627078105027058,0.09314772007758763,0.14042864371661784,0.48,0.26,0.48,0.39999999999999997,0.32,0.45999999999999996
random,11,TrialState.COMPLETE,0.6634715971453605,0.070013,False,stop_heavy,0.3516406642217636,0.31802109998546657,0.12752750879847993,0.1737967792640161,0.06413397592631039,0.16116893289497272,0.6599999999999999,0.4,0.16,0.6,0.38,0.39999999999999997
random,12,TrialState.COMPLETE,0.5703010192056853,0.062292,False,balanced,0.35326930855268474,0.1243128355212426,0.1824186116598562,0.08850428178364944,0.097420734849134,0.08789862864079863,0.6799999999999999,0.34,0.48,0.39999999999999997,0.38,0.38
random,13,TrialState.COMPLETE,0.6349012168451003,0.040881,False,stop_heavy,0.2273824883145467,0.29159585196888654,0.24344444004024318,0.14438413797190858,0.08355806940272079,0.09869636654407227,0.5,0.46,0.48,0.56,0.38,0.44
random,14,TrialState.COMPLETE,0.6226324438076427,0.045323,False,balanced,0.41612592727953523,0.32276764192298224,0.20840632923085756,0.0643037940491583,0.039395445691353656,0.20376867016433267,0.6599999999999999,0.2,0.16,0.56,0.3,0.38
random,15,TrialState.PRUNED,0.4962464426494914,0.021008,True,balanced,0.34558837785078017,0.17831002045974553,0.2224358442695072,0.09033234487445602,0.05904796377911213,0.17943862481888387,0.6599999999999999,0.52,0.36,0.52,0.32,0.44
random,16,TrialState.COMPLETE,0.6634715971453605,0.058731,False,stop_heavy,0.4419031664257337,0.2222054084133577,0.2584093110354227,0.15729356641953468,0.11537735642499782,0.14042193489683075,0.64,0.38,0.2,0.56,0.36,0.36
random,17,TrialState.COMPLETE,0.6313189120981818,0.060894,False,stop_heavy,0.4321375753058744,0.3680214300206727,0.2629728780440897,0.11292697904342554,0.021854793983464092,0.20853097001403606,0.6,0.56,0.48,0.6,0.36,0.44
random,18,TrialState.COMPLETE,0.6090988588598429,0.076559,False,stop_heavy,0.20084782400582774,0.26476832823917107,0.2672309548321562,0.1683250654347454,0.0884073404107238,0.07554823900332297,0.6599999999999999,0.56,0.2,0.52,0.52,0.52
random,19,TrialState.PRUNED,0.6663657407407407,0.05055,True,balanced,0.2578473453659266,0.19633387950876827,0.24187223109570272,0.1877192770954607,0.12404867822961245,0.2061184884090354,0.62,0.38,0.44000000000000006,0.56,0.48,0.54
random,20,TrialState.COMPLETE,0.6846566029906992,0.045067,False,stop_heavy,0.2626748857919832,0.14443530435862595,0.1956560281992348,0.05611018654544615,0.07587176217589522,0.14682314155321224,0.5599999999999999,0.4,0.16,0.36,0.5,0.44
random,21,TrialState.PRUNED,0.5610387205387206,0.018816,True,balanced,0.3809980659295833,0.17611346714917922,0.20457809516380004,0.06450906904894056,0.026201806540232925,0.14501674105090367,0.64,0.44,0.4,0.64,0.42,0.42
random,22,TrialState.COMPLETE,0.7465740178983028,0.045147,False,stop_heavy,0.28169142621169085,0.14039865914898914,0.0850701486830915,0.21365023049524723,0.12031761446146472,0.17135587297499166,0.6,0.26,0.2,0.44,0.44,0.52
random,23,TrialState.PRUNED,0.6868413345539619,0.032092,True,stop_heavy,0.43645958419895825,0.3118531983408998,0.19087081050228016,0.15399252685983988,0.0703520074913348,0.0996369583201852,0.58,0.46,0.16,0.36,0.3,0.36
random,24,TrialState.COMPLETE,0.6634715971453605,0.043491,False,stop_heavy,0.29225214872619754,0.1454368817692604,0.17832317502336648,0.13049020103269615,0.040784224389201824,0.1294162638780757,0.58,0.42000000000000004,0.36,0.36,0.38,0.5
random,25,TrialState.PRUNED,0.5055527576428739,0.018355,True,balanced,0.34760808948568356,0.1623629510411717,0.09411374948008597,0.15921127729507364,0.02318135726499462,0.15372409300375411,0.76,0.4,0.28,0.56,0.4,0.48
random,26,TrialState.COMPLETE,0.6294338997061819,0.050458,False,stop_heavy,0.43835716914717426,0.3553911669085766,0.1191582269578593,0.06179142114877813,0.0320933601652912,0.06291549210424796,0.5,0.4,0.16,0.44,0.5,0.36
random,27,TrialState.COMPLETE,0.6980976776919366,0.052384,False,stop_heavy,0.18544944828649687,0.30115166299467916,0.20578856935597678,0.199170242299599,0.1082085252564663,0.18855694886157578,0.5599999999999999,0.26,0.4,0.6,0.54,0.44
random,28,TrialState.PRUNED,0.4962464426494914,0.019539,True,balanced,0.25224106207590535,0.3619969046569268,0.2516825503686024,0.12292898465375311,0.1101045281349797,0.1807268598535492,0.5,0.46,0.32,0.6,0.38,0.56
random,29,TrialState.COMPLETE,0.6809215502263916,0.042987,False,stop_heavy,0.4216145929257792,0.14373453596439473,0.143862727518083,0.21151053439863682,0.13407285763250673,0.15175006209972577,0.6599999999999999,0.36,0.24,0.44,0.45999999999999996,0.54
random,30,TrialState.COMPLETE,0.6928500920686023,0.048763,False,stop_heavy,0.1773618309146071,0.24854927922267117,0.09151175200332887,0.14341990999503504,0.07298366016480524,0.20203266924132796,0.58,0.24000000000000002,0.2,0.6,0.45999999999999996,0.38
random,31,TrialState.PRUNED,0.5585216845644393,0.021205,True,balanced,0.17182890190925806,0.33368361541549263,0.22124844543129923,0.06382929270912296,0.03018052569022303,0.21786233256018808,0.58,0.32,0.44000000000000006,0.64,0.54,0.54
random,32,TrialState.PRUNED,0.7124927213290769,0.027754,True,stop_heavy,0.3831440747782311,0.2651851049313093,0.16484440184939525,0.2040802454661051,0.03334369787673816,0.13882001668653748,0.48,0.32,0.16,0.36,0.32,0.5
random,33,TrialState.PRUNED,0.6884500000000001,0.025601,True,stop_heavy,0.43865176454236265,0.21746635067616304,0.13714241725637216,0.19766185179220824,0.04683150062233432,0.2141156063104978,0.48,0.44,0.16,0.64,0.42,0.58
random,34,TrialState.PRUNED,0.4892026309607705,0.018365,True,balanced,0.44079076068572975,0.2560054394842387,0.20587972762705253,0.1682772771273849,0.07454492777213279,0.16040929281345015,0.64,0.54,0.16,0.44,0.54,0.56
random,35,TrialState.PRUNED,0.4962464426494914,0.01576,True,balanced,0.2332143548943398,0.16891150152817794,0.17273968098799644,0.11006987876442897,0.09003873342210465,0.07243754191439758,0.76,0.56,0.4,0.52,0.38,0.54
random,36,TrialState.COMPLETE,0.6349012168451003,0.040986,False,stop_heavy,0.42327815534815283,0.3338596831600239,0.26995998265838483,0.1733723164260212,0.0936098235122948,0.12691888580649902,0.74,0.52,0.16,0.36,0.38,0.54
random,37,TrialState.COMPLETE,0.708412361423152,0.042326,False,stop_heavy,0.32823921460564054,0.2190316227240656,0.27398287956292067,0.19316021693307045,0.12059944456533656,0.13499090556719523,0.6,0.30000000000000004,0.16,0.6,0.5,0.58
random,38,TrialState.COMPLETE,0.6634715971453605,0.040052,False,stop_heavy,0.3806962245541532,0.36563908976943127,0.24992947813548233,0.0920491772963436,0.07406529623721123,0.0806655064242392,0.76,0.42000000000000004,0.24,0.56,0.45999999999999996,0.44
random,39,TrialState.PRUNED,0.5055527576428739,0.017126,True,balanced,0.30609231027113804,0.3208027818512662,0.1840327002223987,0.1948708550541518,0.08622882065293827,0.14975007544566182,0.74,0.34,0.2,0.36,0.48,0.5
random,40,TrialState.COMPLETE,0.6820512862236144,0.040683,False,stop_heavy,0.19091144267603094,0.1237816130736493,0.1501175117613194,0.1502860067652876,0.06706928541196788,0.12999598752379665,0.74,0.32,0.32,0.6,0.4,0.5
random,41,TrialState.PRUNED,0.4498902576489533,0.019045,True,balanced,0.19412204427871138,0.36091278254198855,0.17842325861590763,0.09390154601082293,0.07509629074859137,0.21680521204567632,0.62,0.32,0.36,0.39999999999999997,0.3,0.38
random,42,TrialState.PRUNED,0.47994890336047985,0.01825,True,balanced,0.19164815179482303,0.2866274336488358,0.11637601687982896,0.10876343816505674,0.12761460918872142,0.13583386244205958,0.6799999999999999,0.26,0.2,0.36,0.33999999999999997,0.42
random,43,TrialState.PRUNED,0.7242098339631283,0.028806,True,stop_heavy,0.18619076133018025,0.2398024796885087,0.1212667436811585,0.11192587637817283,0.08041007250258284,0.17046317258069843,0.48,0.4,0.36,0.36,0.52,0.58
random,44,TrialState.PRUNED,0.5055527576428739,0.017883,True,balanced,0.39186038393791844,0.3145475194997512,0.11690420387127547,0.08558938496724075,0.06445665233496584,0.13752367763056342,0.6599999999999999,0.34,0.32,0.56,0.3,0.42
random,45,TrialState.PRUNED,0.5024429808578114,0.020752,True,balanced,0.30350323263469986,0.25834950616898206,0.10143440226795522,0.12606010235998727,0.0839140719746028,0.09879528058155675,0.5599999999999999,0.32,0.16,0.44,0.33999999999999997,0.42
random,46,TrialState.PRUNED,0.48845464480874323,0.019042,True,balanced,0.3280777360662146,0.2965666029775673,0.23783424772146766,0.13473517381793973,0.030430434570490845,0.14593704669096763,0.64,0.48000000000000004,0.28,0.39999999999999997,0.36,0.44
random,47,TrialState.COMPLETE,0.7011246266186171,0.044379,False,stop_heavy,0.25682901776935385,0.37649396468617474,0.20115496387137743,0.09032855459511907,0.03221389671444845,0.08445746226949312,0.54,0.24000000000000002,0.2,0.44,0.33999999999999997,0.56
random,48,TrialState.PRUNED,0.5612925727866905,0.017839,True,balanced,0.27311904809689846,0.3754184403962377,0.10240778043361047,0.11763545183777607,0.13633645199304426,0.19848114014303683,0.72,0.28,0.2,0.56,0.54,0.48
random,49,TrialState.PRUNED,0.6884500000000001,0.029784,True,stop_heavy,0.38084787995758107,0.1686313746249561,0.14473584728084873,0.12232419456479085,0.0809132454421346,0.09878555718641284,0.5,0.38,0.24,0.52,0.33999999999999997,0.45999999999999996
random,50,TrialState.COMPLETE,0.6634715971453605,0.044201,False,stop_heavy,0.25098128345817616,0.1549478160041333,0.09267499409455356,0.2182932395062907,0.058682461396966756,0.18957991133674157,0.54,0.42000000000000004,0.4,0.52,0.42,0.44
random,51,TrialState.PRUNED,0.5055527576428739,0.024323,True,balanced,0.3991858223363188,0.37090699677329325,0.10485944469710895,0.1742474707846195,0.13260085481852454,0.08899729058650563,0.48,0.38,0.36,0.6,0.32,0.54
random,52,TrialState.PRUNED,0.7072697000565931,0.025921,True,stop_heavy,0.19927973937929788,0.33178942726015936,0.21303944413924003,0.1389211222107503,0.06305965809482031,0.2003520865300973,0.58,0.48000000000000004,0.28,0.48,0.42,0.42
random,53,TrialState.PRUNED,0.7072697000565931,0.025547,True,stop_heavy,0.2196638085440452,0.3538893890513878,0.1567782442746423,0.14240398638937807,0.12877665331574564,0.15987807934623874,0.5,0.48,0.36,0.44,0.32,0.54
random,54,TrialState.COMPLETE,0.6988500434125006,0.040517,False,stop_heavy,0.41816777491528734,0.325035274918378,0.11033497594655024,0.1029927515252432,0.04981869677773589,0.17903140681162832,0.48,0.34,0.4,0.64,0.38,0.54
random,55,TrialState.PRUNED,0.4962464426494914,0.022024,True,balanced,0.18824659869959473,0.22329469554569548,0.23945907315591075,0.07548596264929154,0.047510167427916986,0.1755604109428906,0.6799999999999999,0.44,0.4,0.52,0.36,0.44
random,56,TrialState.PRUNED,0.5610387205387206,0.02055,True,balanced,0.32501753842983616,0.22422136835854636,0.17240116072882655,0.21103816773400857,0.038402168373929624,0.15379677312268755,0.62,0.42000000000000004,0.16,0.6,0.54,0.48
random,57,TrialState.PRUNED,0.4892026309607705,0.017044,True,balanced,0.3621715902940196,0.15966015115770793,0.19525767203336264,0.1531415578850855,0.07089568055628633,0.17783107769995565,0.76,0.54,0.32,0.36,0.54,0.56
random,58,TrialState.COMPLETE,0.6557424294810241,0.039044,False,balanced,0.41096890861863855,0.25489789485277875,0.19825508714898588,0.11783045965792215,0.02657139665864376,0.11363155866334415,0.72,0.2,0.28,0.48,0.42,0.58
random,59,TrialState.PRUNED,0.6375096853223701,0.026583,True,balanced,0.3712503744329245,0.23757666463134985,0.1249209645879964,0.12691471774255786,0.036902842445575984,0.08822191784099573,0.62,0.34,0.48,0.44,0.44,0.5
random,60,TrialState.PRUNED,0.4962464426494914,0.016419,True,balanced,0.20341079006092544,0.36987828254205835,0.10973254555062259,0.12048610103359403,0.030241960169437265,0.21949988029535158,0.62,0.42000000000000004,0.16,0.56,0.33999999999999997,0.56
random,61,TrialState.PRUNED,0.7423463998794803,0.025488,True,stop_heavy,0.16096490035442845,0.2427374057285998,0.19296822665252328,0.061170468702819905,0.11306331400340128,0.1325262135596844,0.62,0.36,0.28,0.52,0.33999999999999997,0.39999999999999997
random,62,TrialState.PRUNED,0.4976133997785161,0.018687,True,balanced,0.2619927948839259,0.190393615017324,0.20879990864780318,0.11948480908667639,0.023046362679241383,0.08498441557859046,0.6799999999999999,0.44,0.16,0.39999999999999997,0.36,0.52
random,63,TrialState.PRUNED,0.5055527576428739,0.01724,True,balanced,0.38997482561195684,0.16642161213412673,0.21054922157037492,0.09049107277794351,0.03193296713112142,0.09890755055991265,0.6799999999999999,0.52,0.44000000000000006,0.48,0.45999999999999996,0.39999999999999997
random,64,TrialState.PRUNED,0.4962464426494914,0.018592,True,balanced,0.1539005770532208,0.14223221802216168,0.12157725102920547,0.05451047465854936,0.041772252210775684,0.15328664975515074,0.6,0.52,0.44000000000000006,0.44,0.36,0.44
random,65,TrialState.COMPLETE,0.7235191581495813,0.044204,False,stop_heavy,0.3372446723547402,0.2264470295697225,0.19040943617039607,0.12414150995300384,0.055335891145030125,0.21175252911394507,0.7,0.24000000000000002,0.44000000000000006,0.48,0.52,0.54
random,66,TrialState.PRUNED,0.7697298097251586,0.034153,True,stop_heavy,0.23060320781548382,0.2608248958118254,0.20669564396522944,0.09384090652364438,0.0367227288887389,0.19358883788788786,0.76,0.38,0.2,0.44,0.3,0.56
random,67,TrialState.PRUNED,0.4962464426494914,0.024448,True,balanced,0.23221656620616182,0.2640862806541063,0.21028407767037283,0.19105610663022426,0.044770552611272385,0.061759332585356874,0.52,0.48000000000000004,0.44000000000000006,0.52,0.44,0.5
random,68,TrialState.PRUNED,0.5055527576428739,0.016795,True,balanced,0.27563115746762196,0.21961601734486935,0.18378354105656752,0.057984214351759364,0.039954004250729536,0.17808537862821927,0.5,0.38,0.24,0.48,0.36,0.44
random,69,TrialState.COMPLETE,0.7010260349515021,0.042545,False,stop_heavy,0.31992139208906917,0.24377310457176593,0.21273423307252964,0.20926105568520886,0.10790865166523005,0.09439046057452108,0.48,0.26,0.36,0.36,0.42,0.5
random,70,TrialState.PRUNED,0.4962464426494914,0.016895,True,balanced,0.18197947594013153,0.13953582325131028,0.22563775124072066,0.13423352375505374,0.10260828757132834,0.1295723741765994,0.54,0.46,0.44000000000000006,0.56,0.36,0.5
random,71,TrialState.COMPLETE,0.6634715971453605,0.041096,False,stop_heavy,0.4251940726386729,0.15557284403892996,0.2700474707641605,0.12582098140285247,0.04221595146063436,0.1467041515805373,0.74,0.46,0.44000000000000006,0.56,0.45999999999999996,0.56
random,72,TrialState.PRUNED,0.4962464426494914,0.017918,True,balanced,0.21636283254588068,0.3767936820791282,0.26881186793732265,0.056702557932646,0.10466902070188262,0.20803973078650653,0.52,0.38,0.48,0.36,0.48,0.42
random,73,TrialState.PRUNED,0.4498902576489533,0.017715,True,balanced,0.43327994673403025,0.2432956963309406,0.2524085301978627,0.19357339775096194,0.05829205678919068,0.1926264758641084,0.48,0.34,0.24,0.36,0.32,0.52
random,74,TrialState.PRUNED,0.5497753040610184,0.015683,True,balanced,0.16960690223968272,0.2019754878359587,0.18789825847506747,0.18442293802262377,0.05825030035184839,0.16014262022992146,0.74,0.42000000000000004,0.24,0.36,0.52,0.36
random,75,TrialState.COMPLETE,0.6818030171321133,0.041765,False,stop_heavy,0.43172030955386886,0.327683641301153,0.2795868221066675,0.10962100862679072,0.11206259467173524,0.12430894617747874,0.62,0.42000000000000004,0.44000000000000006,0.64,0.48,0.45999999999999996
random,76,TrialState.PRUNED,0.727855938697318,0.024139,True,balanced,0.2216331437304907,0.1487232694141626,0.15092443152815532,0.0988306285811939,0.05555697445471881,0.09737724016798559,0.48,0.2,0.48,0.48,0.38,0.52
random,77,TrialState.PRUNED,0.7642244823642711,0.024875,True,balanced,0.38590350432466564,0.14324686060118746,0.1635161551569857,0.19945011228556797,0.13336784267496923,0.13478424179997917,0.6599999999999999,0.26,0.48,0.39999999999999997,0.54,0.5
random,78,TrialState.PRUNED,0.737618275225372,0.0245,True,stop_heavy,0.2192009435153276,0.16589728832143213,0.12409724181403507,0.08169450456452326,0.1135501368280104,0.11602004146667681,0.48,0.44,0.44000000000000006,0.64,0.54,0.39999999999999997
random,79,TrialState.PRUNED,0.5976128956277347,0.018764,True,balanced,0.35880618541613774,0.1600129356483623,0.24316662499812358,0.08815489721223231,0.04685811377871477,0.14591590766294615,0.64,0.42000000000000004,0.16,0.64,0.36,0.38
